,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,keywords
223,A Parallel Algorithm for Bayesian Text Classification Based on Noise Elimination and Dimension Reduction in Spark Computing Environment,Cloud Computing – CLOUD 2019,,,,10.1007/978-3-030-23502-4_16,Zhuo TangWei XiaoBin LuYoufei ZuoYuan ZhouKeqin Li,2019,http://link.springer.com/chapter/10.1007/978-3-030-23502-4_16,Chapter,"Big data ,Naive bayesian classification ,Parallel computing ,Spark ,Text classification "
224,Survey of Modular Robots and Developed Embedded Devices for Constructive and Computing Components,Interactive Collaborative Robotics,,,,10.1007/978-3-319-66471-2_6,Vladimir DashevskiyViktor BudkovAndrey Ronzhin,2017,http://link.springer.com/chapter/10.1007/978-3-319-66471-2_6,Chapter,"Modular robotics ,Embedded devices ,Servos ,SMARC ,Swarm robotics ,Cloud robotics "
225,Cognitively-Inspired Agent-Based Service Composition for Mobile and Pervasive Computing,Artificial Intelligence and Mobile Services – AIMS 2019,,,,10.1007/978-3-030-23367-9_8,Oscar J. Romero,2019,http://link.springer.com/chapter/10.1007/978-3-030-23367-9_8,Chapter,"Service composition ,Pervasive middleware ,Cognition "
226,Services Computing for Big Data: Challenges and Opportunities,"Collaborate Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-319-59288-6_69,Gang Huang,2017,http://link.springer.com/chapter/10.1007/978-3-319-59288-6_69,Chapter,"Big data ,Services computing ,Client-Cloud Convergence "
227,Load Balancing in Multi-cellular 4G Using Cloud Computing,Mobile Web and Intelligent Information Systems,,,,10.1007/978-3-030-27192-3_14,Ravyar Jasim HamdTara Ali YahiyaPinar Kirci,2019,http://link.springer.com/chapter/10.1007/978-3-030-27192-3_14,Chapter,"4G ,LTE ,Load balancing ,Cloud computing "
228,Development of an ECG Smart Jersey Based on Next Generation Computing for Automated Detection of Heart Defects Among Athletes,Bioinformatics and Biomedical Engineering,,,,10.1007/978-3-030-17935-9_47,Emmanuel AdetibaEkpoki N. OnosenemaVictor AkandeJoy N. AdetibaJules R. KalaFolarin Olaloye,2019,http://link.springer.com/chapter/10.1007/978-3-030-17935-9_47,Chapter,"ECG ,IoT ,Machine Learning ,Next Generation Computing ,Smart Jersey ,Sudden Cardiac Deaths "
229,Accelerating Low-End Edge Computing with Cross-Kernel Functionality Abstraction,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-3-030-05051-1_38,Chao WuYaoxue ZhangYuezhi ZhouQiushi Li,2018,http://link.springer.com/chapter/10.1007/978-3-030-05051-1_38,Chapter,"Edge computing ,Remote procedure call ,Functionality abstraction ,Performance optimization "
230,Maintaining Trust in Cloud Computing through SLA Monitoring,Neural Information Processing,,,,10.1007/978-3-319-12643-2_83,Walayat HussainFarookh Khadeer HussainOmar Khadeer Hussain,2014,http://link.springer.com/chapter/10.1007/978-3-319-12643-2_83,Chapter,"Service level agreement monitoring ,cloud computing ,maintaining trust ,cloud monitoring ,SLA monitoring metrics ,proactive SLA monitoring ,hierarchical self-monitoring "
231,Large-Scale Semantic Data Management For Urban Computing Applications,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-3-030-15093-8_8,Shengli SongXiang ZhangBin Guo,2019,http://link.springer.com/chapter/10.1007/978-3-030-15093-8_8,Chapter,"Urban computing ,Semantic data management ,Encoding pattern ,Data clustering "
232,Modelling Secure Cloud Computing Systems from a Security Requirements Perspective,"Trust, Privacy and Security in Digital Business",,,,10.1007/978-3-319-44341-6_4,Shaun SheiChristos KalloniatisHaralambos MouratidisAidan Delaney,2016,http://link.springer.com/chapter/10.1007/978-3-319-44341-6_4,Chapter,"Cloud computing ,Cloud security ,Cloud security requirements ,Modelling language ,Security requirements engineering "
233,A Performance Assessment of Evolutionary Algorithms in Volunteer Computing Environments: The Importance of Entropy,Applications of Evolutionary Computation,,,,10.1007/978-3-319-55849-3_52,Juan J. MereloPaloma de las CuevasPablo García-SánchezMario García-Valdez,2017,http://link.springer.com/chapter/10.1007/978-3-319-55849-3_52,Chapter,
234,New Governance Framework to Secure Cloud Computing,Cloud Computing and Services Sciences,,,,10.1007/978-3-319-25414-2_12,Ahmed Shaker SaidahNashwa Abdelbaki,2015,http://link.springer.com/chapter/10.1007/978-3-319-25414-2_12,Chapter,"Security framework ,Governance model ,Cloud computing "
235,Structural Specification for the SLAs in Cloud Computing (S3LACC),"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-319-61920-0_4,Waheed Aslam GhummanAlexander Schill,2017,http://link.springer.com/chapter/10.1007/978-3-319-61920-0_4,Chapter,"Service Level Agreement ,Negotiation ,Monitoring "
236,A Virtual Coach for Active Ageing Based on Sentient Computing and m-health,Ambient Assisted Living and Daily Activities,,,,10.1007/978-3-319-13105-4_10,Zoraida CallejasDavid GriolMichael F. McTearRamón López-Cózar,2014,http://link.springer.com/chapter/10.1007/978-3-319-13105-4_10,Chapter,"Sentient computing ,m-health ,wearable technologies ,active ageing ,mobile interfaces ,conversational interfaces ,multimodal interacion "
237,"Computing Periods
                
                  
                
                
$$\ldots $$",WALCOM: Algorithms and Computation,,,,10.1007/978-3-319-75172-6_12,Junhee ChoSewon ParkMartin Ziegler,2018,http://link.springer.com/chapter/10.1007/978-3-319-75172-6_12,Chapter,"Exact Real Computation ,Reliable numerics ,Computational algebraic geometry ,Randomized algorithms "
238,A System for Computing Conceptual Pathways in Bio-medical Text Models,Foundations of Intelligent Systems,,,,10.1007/978-3-319-08326-1_27,Troels AndreasenHenrik BulskovJørgen Fischer NilssonPer Anker Jensen,2014,http://link.springer.com/chapter/10.1007/978-3-319-08326-1_27,Chapter,"Semantic text processing in bio-informatics and medicine ,natural logic knowledge bases in bio-informatics ,generative ontologies ,path-finding in graph knowledge bases "
239,DRIS: Direct Reciprocity Based Image Score Enhances Performance in Collaborate Computing System,"Collaborate Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-319-59288-6_48,Kun LuShiyu WangQilong Zhen,2017,http://link.springer.com/chapter/10.1007/978-3-319-59288-6_48,Chapter,"Direct reciprocity ,Indirect reciprocity ,Evolutionary game ,Collaborative computing "
240,Situational Crime Prevention and the Mitigation of Cloud Computing Threats,Security and Privacy in Communication Networks,,,,10.1007/978-3-319-78816-6_16,Chaz VidalKim-Kwang Raymond Choo,2018,http://link.springer.com/chapter/10.1007/978-3-319-78816-6_16,Chapter,"Situational crime prevention ,Cloud security ,Crime opportunity theories "
241,Outsmarting Proctors with Smartwatches: A Case Study on Wearable Computing Security,Financial Cryptography and Data Security,,,,10.1007/978-3-662-45472-5_7,Alex MigicovskyZakir DurumericJeff RingenbergJ. Alex Halderman,2014,http://link.springer.com/chapter/10.1007/978-3-662-45472-5_7,Chapter,"Security ,Wearable computing ,Smartwatches ,Cheating "
242,Activity Context Integration in Mobile Computing Environments,"Distributed, Ambient, and Pervasive Interactions",,,,10.1007/978-3-319-20804-6_48,Yoosoo Oh,2015,http://link.springer.com/chapter/10.1007/978-3-319-20804-6_48,Chapter,"Activity recognition ,Context integration ,Embedded middleware "
243,MDRAA: A Multi-decisive Resource Allocation Approach to Enhance Energy Efficiency in a Cloud Computing Environment,Advanced Informatics for Computing Research,,,,10.1007/978-981-15-0111-1_26,N. AshaG. Raghavendra Rao,2019,http://link.springer.com/chapter/10.1007/978-981-15-0111-1_26,Chapter,"Energy efficiency ,Threshold ,Resource allocation ,CloudSim ,DVFS level ,VM migration, energy cost ,Deadline miss ,Host energy ,Switch energy "
244,The Various Graphs in Graph Computing,Computer Engineering and Technology,,,,10.1007/978-981-13-5919-4_15,Rujun SunLufei Zhang,2019,http://link.springer.com/chapter/10.1007/978-981-13-5919-4_15,Chapter,"Graph category ,Extremely large scale graph ,Graph characters "
245,An Efficient Federated Learning Scheme with Differential Privacy in Mobile Edge Computing,Machine Learning and Intelligent Communications,,,,10.1007/978-3-030-32388-2_46,Jiale ZhangJunyu WangYanchao ZhaoBing Chen,2019,http://link.springer.com/chapter/10.1007/978-3-030-32388-2_46,Chapter,"Federated learning ,Mobile edge computing ,Deep neural network ,Differential privacy "
246,Harnessing Mobile Pervasive Computing to Enhance Livelihood Processes: Farmer Response to a Mobile Agriculture Information System,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-3-319-57186-7_46,L. N. C. De SilvaJ. S. GoonetillakeG. N. WikramanayakeA. Ginige,2017,http://link.springer.com/chapter/10.1007/978-3-319-57186-7_46,Chapter,"Mobile agriculture information system ,Agriculture knowledge ,Mobile pervasive computing
 "
247,On Security in Encrypted Computing,Information and Communications Security,,,,10.1007/978-3-030-01950-1_12,Peter T. BreuerJonathan P. BowenEsther PalomarZhiming Liu,2018,http://link.springer.com/chapter/10.1007/978-3-030-01950-1_12,Chapter,"Encrypted computing ,Computer security ,Data security "
248,Data Fragmentation Scheme: Improving Database Security in Cloud Computing,Recent Trends in Computer Applications,,,,10.1007/978-3-319-89914-5_8,Amjad AlsirhaniPeter BodorikSrinivas Sampalli,2018,http://link.springer.com/chapter/10.1007/978-3-319-89914-5_8,Chapter,
249,Cloud Computing for Fluorescence Correlation Spectroscopy Simulations,High Performance Computing,,,,10.1007/978-3-319-26928-3_3,Lucía MarroigCamila RiverónSergio NesmachnowEsteban Mocskos,2015,http://link.springer.com/chapter/10.1007/978-3-319-26928-3_3,Chapter,"Scientific computing ,Cloud ,Fluorescence analysis "
250,Cloud Computing and Virtualization in Developing Countries,Emerging Technologies for Developing Countries,,,,10.1007/978-3-319-67837-5_19,Yness Boukhris,2018,http://link.springer.com/chapter/10.1007/978-3-319-67837-5_19,Chapter,"Cloud computing ,Virtualization ,Developing countries ,Cloud services ,Cloud benefits ,Cloud prerequisites "
251,seTPM: Towards Flexible Trusted Computing on Mobile Devices Based on GlobalPlatform Secure Elements,Smart Card Research and Advanced Applications,,,,10.1007/978-3-319-31271-2_4,Sergej ProskurinMichael WeißGeorg Sigl,2016,http://link.springer.com/chapter/10.1007/978-3-319-31271-2_4,Chapter,"Trust Computing ,Secure Element ,Hash Algorithm ,Trust Computing Group ,Remote Attestation "
252,Designation of Green Computer Terminal Supported by Cloud Computing,Testbeds and Research Infrastructure: Development of Networks and Communities,,,,10.1007/978-3-319-13326-3_47,Guohua Xiong,2014,http://link.springer.com/chapter/10.1007/978-3-319-13326-3_47,Chapter,"Cloud computing ,Energy-saving ,Green computer ,Cloud terminal "
253,Computing the k-binomial Complexity of the Thue–Morse Word,Developments in Language Theory,,,,10.1007/978-3-030-24886-4_21,Marie LejeuneJulien LeroyMichel Rigo,2019,http://link.springer.com/chapter/10.1007/978-3-030-24886-4_21,Chapter,
254,Revenue-Driven Service Provisioning for Resource Sharing in Mobile Cloud Computing,Service-Oriented Computing,,,,10.1007/978-3-319-69035-3_46,Hongyue WuShuiguang DengWei LiJianwei YinQiang YangZhaohui WuAlbert Y. Zomaya,2017,http://link.springer.com/chapter/10.1007/978-3-319-69035-3_46,Chapter,"Mobile cloud computing ,Scheduling ,Service provisioning ,Resource sharing "
255,Some Artificial Intelligence Driven Algorithms For Mobile Edge Computing in Smart City,Computer Information Systems and Industrial Management,,,,10.1007/978-3-030-28957-7_10,Jerzy BalickiPiotr DryjaMarcin Zakidalski,2019,http://link.springer.com/chapter/10.1007/978-3-030-28957-7_10,Chapter,"Artificial intelligence ,Edge computing ,Smart city "
256,Computing Coalitions in Multiagent Systems: A Contextual Reasoning Approach,Multi-Agent Systems,,,,10.1007/978-3-319-17130-2_6,Antonis BikakisPatrice Caire,2015,http://link.springer.com/chapter/10.1007/978-3-319-17130-2_6,Chapter,"Multiagent System ,Coalition Formation ,Dependence Relation ,Belief State ,Dependence Network "
257,Security Issues in Cloud Computing,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-3-319-57186-7_58,Parnian Najafi Borazjani,2017,http://link.springer.com/chapter/10.1007/978-3-319-57186-7_58,Chapter,"Cloud security ,Cloud computing ,APT ,DDOS ,Data breach ,Secured API ,Account hijacking "
258,Model Checking of Cost-Effective Elasticity Strategies in Cloud Computing,Service-Oriented Computing – ICSOC 2017 Workshops,,,,10.1007/978-3-319-91764-1_7,Rawand GuerfelZohra SbaïRahma Ben Ayed,2018,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_7,Chapter,"Cloud computing composition ,Cloud elasticity ,Cost-effective strategy ,SLA ,Formal model ,Timed Coloured Petri Net "
259,All the Services Large and Micro: Revisiting Industrial Practice in Services Computing,Service-Oriented Computing – ICSOC 2015 Workshops,,,,10.1007/978-3-662-50539-7_4,Gerald SchermannJürgen CitoPhilipp Leitner,2016,http://link.springer.com/chapter/10.1007/978-3-662-50539-7_4,Chapter,
260,On the Energy Inefficiency of MPTCP for Mobile Computing,Wired/Wireless Internet Communications,,,,10.1007/978-3-319-33936-8_8,Mohammad Javad ShamaniWeiping ZhuSaeid Rezaie,2016,http://link.springer.com/chapter/10.1007/978-3-319-33936-8_8,Chapter,"MPTCP ,Mobile device ,Energy ,MDP "
261,Secure Data Sharing for Vehicular Ad-hoc Networks Using Cloud Computing,Ad Hoc Networks,,,,10.1007/978-3-319-51204-4_25,Mehdi SookhakF. Richard YuHelen Tang,2017,http://link.springer.com/chapter/10.1007/978-3-319-51204-4_25,Chapter,"Vehicular ad-hoc networks ,Cloud computing ,Data access control ,Bilinear pairing technique ,Proxy re-encryption "
262,Computing the Dynamic Diameter of Non-Deterministic Dynamic Networks is Hard,Algorithms for Sensor Systems,,,,10.1007/978-3-662-46018-4_6,Emmanuel GodardDorian Mazauric,2015,http://link.springer.com/chapter/10.1007/978-3-662-46018-4_6,Chapter,
263,An Automated Semantically Enabled Fuzzy Based SLA in Cloud Computing Environment Using Multi-agent System,"Swarm, Evolutionary, and Memetic Computing",,,,10.1007/978-3-319-20294-5_38,Manoranjan ParhiBinod Kumar PattanayakManas Ranjan Patra,2015,http://link.springer.com/chapter/10.1007/978-3-319-20294-5_38,Chapter,"Service level agreement (SLA) ,Multi-agent system ,Fuzzy ontology ,Quality of service (QoS) "
264,Visualizing Next-Generation Sequencing Cancer Data Sets with Cloud Computing,Advanced Visual Interfaces. Supporting Big Data Applications,,,,10.1007/978-3-319-50070-6_4,Paul WalshBrendan LawlorBrian KellyTimmy ManningTimm HeussMarkus Leopold,2016,http://link.springer.com/chapter/10.1007/978-3-319-50070-6_4,Chapter,"Cloud Computing ,Differential Expression Analysis ,Public Cloud ,Private Cloud ,Cloud Technology "
265,Tasks Scheduling and Resource Allocation for High Data Management in Scientific Cloud Computing Environment,"Mobile, Secure, and Programmable Networking",,,,10.1007/978-3-319-50463-6_2,Esma Insaf DjebbarGhalem Belalem,2016,http://link.springer.com/chapter/10.1007/978-3-319-50463-6_2,Chapter,"Task scheduling ,Resource allocation ,High data management ,Scientific cloud computing "
266,Integrating Parallel Computing in Introductory Programming Classes: An Experience and Lessons Learned,Euro-Par 2017: Parallel Processing Workshops,,,,10.1007/978-3-319-75178-8_18,Sheikh GhafoorDavid W. BrownMike Rogers,2018,http://link.springer.com/chapter/10.1007/978-3-319-75178-8_18,Chapter,"Parallel and distributed computing ,Introductory programming ,Undergraduate education "
267,"Decision Making in Cloud Computing: A Method that Combines Costs, Risks and Intangible Benefits",Knowledge Management in Organizations,,,,10.1007/978-3-319-62698-7_23,Yuri Zelenkov,2017,http://link.springer.com/chapter/10.1007/978-3-319-62698-7_23,Chapter,"Cloud computing ,IT costs ,IT intangible benefits ,IT risks ,IT sourcing "
268,Elements of Properties of User Experience in Cloud Computing Documentation Platform According to Smart Device Screen Size Changes: Focus on Google Docs and Naver Office,"Design, User Experience, and Usability: Users and Interactions",,,,10.1007/978-3-319-20898-5_53,Min Kyung KangSung Woo Kim,2015,http://link.springer.com/chapter/10.1007/978-3-319-20898-5_53,Chapter,"Mobile services ,User experience (UX) ,Consistency of character ,Cloud computing ,Online office ,Document authoring tool "
269,Construction of Lightweight Certificate-Based Signature and Application in Cloud Computing,Advances in Wireless Sensor Networks,,,,10.1007/978-3-642-54522-1_7,Wang ShaohuiChang Suqin,2014,http://link.springer.com/chapter/10.1007/978-3-642-54522-1_7,Chapter,"Certificate-based Signature ,Lightweight ,Proxy Signature ,Single Sign-On ,Cloud Computing "
270,A Dynamic Resource Allocation Model for Guaranteeing Quality of Service in Software Defined Networking Based Cloud Computing Environment,Cloud Computing and Security,,,,10.1007/978-3-319-27051-7_18,Chenhui XuBing ChenPing FuHongyan Qian,2015,http://link.springer.com/chapter/10.1007/978-3-319-27051-7_18,Chapter,"Software defined networking ,Cloud computing ,Quality of service ,Queue "
271,"Virtualization, Containerization, Composition, and Orchestration of Cloud Computing Services",Computational Science and Its Applications – ICCSA 2019,,,,10.1007/978-3-030-24305-0_30,Isaac Odun-AyoVictor GetelomaIbukun EweoyaRavin Ahuja,2019,http://link.springer.com/chapter/10.1007/978-3-030-24305-0_30,Chapter,"Cloud computing ,Virtualization ,Containerization ,Composition ,Orchestration ,Systematic mapping "
272,"Applications of High Performance Computing in Bioinformatics, Computational Biology and Computational Chemistry",Bioinformatics and Biomedical Engineering,,,,10.1007/978-3-319-16480-9_51,Horacio Peréz-SánchezAfshin FassihiJosé M. CeciliaHesham H. AliMario Cannataro,2015,http://link.springer.com/chapter/10.1007/978-3-319-16480-9_51,Chapter,"HPC ,Parallel Computing ,Heterogeneous Computing ,Bioinformatics ,Computational Biology ,Computational Chemistry "
273,Mobile Computing and Artificial Intelligence for Diet Management,New Trends in Image Analysis and Processing -- ICIAP 2015 Workshops,,,,10.1007/978-3-319-23222-5_42,Alessandro MazzeiLuca AnselmaFranco De MichieliAndrea BolioliMatteo CasuJelle GerbrandyIvan Lunardi,2015,http://link.springer.com/chapter/10.1007/978-3-319-23222-5_42,Chapter,"Natural Language Processing ,Mobile Computing ,Diet Management ,Rule Engine ,Minimal Network "
274,Real-Time Task Scheduling Algorithm for Cloud Computing Based on Particle Swarm Optimization,Cloud Computing and Big Data,,,,10.1007/978-3-319-28430-9_11,Huangning ChenWenzhong Guo,2015,http://link.springer.com/chapter/10.1007/978-3-319-28430-9_11,Chapter,"Cloud computing ,Task scheduling ,Real-time ,Virtual machine ,Particle swarm optimization "
275,A Novel Approach to True Random Number Generation in Wearable Computing Environments Using MEMS Sensors,Information Security and Cryptology,,,,10.1007/978-3-319-16745-9_29,Neel BedekarChiranjit Shee,2015,http://link.springer.com/chapter/10.1007/978-3-319-16745-9_29,Chapter,"MEMS ,Invensense ,Nasiri ,Accelerometer ,Gyroscope ,Compass ,Random number ,Entropy ,NIST ,Kullback-Leibler ,Extractor ,Von neumann ,Barak-Impagliazzo-Wigderson ,Audio "
276,"Mobile and Game Usage, Gender and Attitude Towards Computing Degrees",ICT Education,,,,10.1007/978-3-319-69670-6_5,Eleftherios A. NicolauLisa F. Seymour,2017,http://link.springer.com/chapter/10.1007/978-3-319-69670-6_5,Chapter,"Gender ,Gaming ,Mobile usage ,Technology in schools ,Technology attitudes ,Computing career choice "
277,A Hybrid Searchable Encryption Scheme for Cloud Computing,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-030-12942-2_8,Stefania Loredana NitaMarius Iulian Mihailescu,2019,http://link.springer.com/chapter/10.1007/978-3-030-12942-2_8,Chapter,"Searchable encryption ,Suffix tree ,Paillier cryptosystem ,Okamoto-Uchiyama cryptosystem "
278,Music with Unconventional Computing: A System for Physarum Polycephalum Sound Synthesis,"Sound, Music, and Motion",,,,10.1007/978-3-319-12976-1_11,Edward BraundEduardo Miranda,2014,http://link.springer.com/chapter/10.1007/978-3-319-12976-1_11,Chapter,"Music with unconventional computing ,Physarum polycephalum ,Sonification ,Bionic engineering ,Unconventional computing "
279,Trustworthy Self-optimization in Organic Computing Environments,Architecture of Computing Systems – ARCS 2015,,,,10.1007/978-3-319-16086-3_10,Nizar MsadekRolf KiefhaberTheo Ungerer,2015,http://link.springer.com/chapter/10.1007/978-3-319-16086-3_10,Chapter,"Organic computing ,Autonomic computing ,Trust  ,Self-x properties ,Self-optimization "
280,Shared Folder Based Virtual Machine Migration in Cloud Computing,Futuristic Trends in Network and Communication Technologies,,,,10.1007/978-981-13-3804-5_18,Yashveer YadavC. Rama Krishna,2019,http://link.springer.com/chapter/10.1007/978-981-13-3804-5_18,Chapter,"Virtualization ,Virtual machine ,Pre-copy ,Post-copy ,Virtual machine migration ,Shared folder based migration "
281,Computing the Semantics of Plurals and Massive Entities Using Many-Sorted Types,New Frontiers in Artificial Intelligence,,,,10.1007/978-3-662-48119-6_11,Bruno MeryRichard MootChristian Retoré,2015,http://link.springer.com/chapter/10.1007/978-3-662-48119-6_11,Chapter,"Lexical Semantics ,Plural Nouns ,Mass Nouns ,Higher-Order Logic ,Syntax and Semantics Analysis ,New Type Theories "
282,Exploring Patterns as a Framework for Embedding Consent Mechanisms in Human-Agent Collectives,Active Media Technology,,,,10.1007/978-3-319-09912-5_40,Stuart MoranEwa LugerTom Rodden,2014,http://link.springer.com/chapter/10.1007/978-3-319-09912-5_40,Chapter,"Software Agent ,Multiple Agent ,Pervasive Computing ,Core System ,Unmanned Ground Vehicle "
283,"Internet of Things: Trends, Challenges and Opportunities",New Trends in Databases and Information Systems,,,,10.1007/978-3-030-00063-9_24,Marina Tropmann-Frick,2018,http://link.springer.com/chapter/10.1007/978-3-030-00063-9_24,Chapter,
284,Key Factors for Innovative Developments on Health Sensor-Based System,Bioinformatics and Biomedical Engineering,,,,10.1007/978-3-319-56154-7_59,Maria Dolores PeláezMiguel López-MedinaMacarena EspinillaJavier Medina-Quero,2017,http://link.springer.com/chapter/10.1007/978-3-319-56154-7_59,Chapter,"Health technology ,Sensor-based systems ,Disruptive innovation "
285,Emergence and Ubiquity in the Smart Cities,ICT for Promoting Human Development and Protecting the Environment,,,,10.1007/978-3-319-44447-5_22,Jose Aguilar,2016,http://link.springer.com/chapter/10.1007/978-3-319-44447-5_22,Chapter,"Emergent systems ,Ubiquitous systems ,Smart cities "
286,Smart Home Energy Conservation Based on Context Awareness Technology,Current Approaches in Applied Artificial Intelligence,,,,10.1007/978-3-319-19066-2_70,Dai BinRung-Ching ChenKun-Lin Chen,2015,http://link.springer.com/chapter/10.1007/978-3-319-19066-2_70,Chapter,"Smart home ,Context awareness ,Cloud computing ,Energy consumption "
287,Evaluating an IoT Application Using Software Measures,"Distributed, Ambient and Pervasive Interactions",,,,10.1007/978-3-319-58697-7_2,Rainara M. CarvalhoRossana M. C. AndradeJefferson BarbosaAdyson M. MaiaBelmondo A. JuniorPaulo A. AguilarCarla I. M. BezerraKáthia M. Oliveira,2017,http://link.springer.com/chapter/10.1007/978-3-319-58697-7_2,Chapter,"Internet of Things ,HCI quality evaluation ,Measures ,Ubiquitous computing "
288,Device Analyzer: Understanding Smartphone Usage,"Mobile and Ubiquitous Systems: Computing, Networking, and Services",,,,10.1007/978-3-319-11569-6_16,Daniel T. WagnerAndrew RiceAlastair R. Beresford,2014,http://link.springer.com/chapter/10.1007/978-3-319-11569-6_16,Chapter,"Text Message ,Device Analyzer ,Human Mobility ,Power Draw ,Ubiquitous Application "
289,A Proposal for a Distributed Computational Framework in IoT Context,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-319-67585-5_20,Higinio MoraMaría Teresa Signes-PontDavid Gil-MéndezFrancisco Javier Ferrández-Pastor,2017,http://link.springer.com/chapter/10.1007/978-3-319-67585-5_20,Chapter,"Mobile cloud computing ,Internet of things ,Embedded systems ,Computer modelling ,Novel computing systems "
290,Rays of Uniqueness – Cloud in Multinational Organisations: Challenge to Traditional Business System Alignments,Digital Services and Information Intelligence,,,,10.1007/978-3-662-45526-5_9,Amit MitraNicholas O’ReganXiming Ruan,2014,http://link.springer.com/chapter/10.1007/978-3-662-45526-5_9,Chapter,"IS strategy ,Business strategy ,IS assets ,Cloud Computing ,Resource sharing "
291,Reconciling Humans and Technology: The Role of Ambient Intelligence,Ambient Intelligence,,,,10.1007/978-3-319-56997-0_1,Norbert Streitz,2017,http://link.springer.com/chapter/10.1007/978-3-319-56997-0_1,Chapter,"Virtual World ,Ubiquitous Computing ,Smart Home ,Smart City ,Ambient Intelligence "
292,UbiComp Applications for Assisting Visually Impaired People Live an Independent Life: A Participatory Conceptualization Design Phase,"Distributed, Ambient, and Pervasive Interactions",,,,10.1007/978-3-319-07788-8_26,Anna Leda LiakopoulouIrene Mavrommati,2014,http://link.springer.com/chapter/10.1007/978-3-319-07788-8_26,Chapter,"Scenario based design ,Visually impaired ,Ubicomp applications "
293,Using Ambient Intelligence to Improve Public Transport Accessibility,Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services,,,,10.1007/978-3-319-13102-3_4,Carmelo R. GarcíaAlexis Quesada-ArencibiaTeresa CristóbalGabino PadrónRicardo PérezFrancisco Alayón,2014,http://link.springer.com/chapter/10.1007/978-3-319-13102-3_4,Chapter,"ambient intelligence ,ubiquitous computing ,ubiquitous data management ,intelligent transport systems "
294,Blockchain Temporality: Smart Contract Time Specifiability with Blocktime,"Rule Technologies. Research, Tools, and Applications",,,,10.1007/978-3-319-42019-6_12,Melanie Swan,2016,http://link.springer.com/chapter/10.1007/978-3-319-42019-6_12,Chapter,"Bitcoin ,Cryptocurrency ,Blockchain ,Temporality ,Algorithmic trust ,Information theory ,Distributed computing ,Decentralization ,Network computing ,Byzantine agreement "
295,BioCyberUrban ParQ: Brasilia’s Smart National Park as an Extension of Our Senses,Universal Access in Human-Computer Interaction. Access to Interaction,,,,10.1007/978-3-319-20681-3_54,Suzete VenturelliFrancisco de Paula Barretto,2015,http://link.springer.com/chapter/10.1007/978-3-319-20681-3_54,Chapter,"Biocybernetic art ,Multimodal interaction ,Computer art ,Pervasive computing "
296,Toward Agent Based Inter-VM Traffic Authentication in a Cloud Environment,"Mobile and Ubiquitous Systems: Computing, Networking, and Services",,,,10.1007/978-3-319-11569-6_42,Benzidane KarimSaad KhoudaliAbderrahim Sekkaki,2014,http://link.springer.com/chapter/10.1007/978-3-319-11569-6_42,Chapter,"Ubiquitous computing ,Cloud computing ,Virtualization ,Security ,Intrusion detection "
297,Industrial Internet of Things: An Architecture Prototype for Monitoring in Confined Spaces Using a Raspberry Pi,Data Mining and Big Data,,,,10.1007/978-3-319-40973-3_53,José Ignacio Rodríguez MolanoVíctor Hugo MedinaJavier Felipe Moncada Sánchez,2016,http://link.springer.com/chapter/10.1007/978-3-319-40973-3_53,Chapter,"Industrial internet of things ,Ubiquitous computing ,M2M communications ,Applications ,Prototype ,Monitoring ,Raspberry Pi "
298,"Where Is Mobile Projection Interaction Going? The Past, Present and Future of the Mobile Projected Interface",Human-Computer Interaction. Applications and Services,,,,10.1007/978-3-319-07227-2_19,Yun ZhouTao XuBertrand DavidRené Chalon,2014,http://link.springer.com/chapter/10.1007/978-3-319-07227-2_19,Chapter,"Mobile projectors ,Ubiquitous computing ,Mobility ,Affordance ,Projection interaction ,Context ,Literature review ,Pico-projector "
299,Context-Based Service Identification in the Museum Environment,Context-Aware Systems and Applications,,,,10.1007/978-3-319-29236-6_16,Preeti KhanwalkarPallapa Venkataram,2016,http://link.springer.com/chapter/10.1007/978-3-319-29236-6_16,Chapter,"Context information ,Essential Context-derived Reasons ,Service identification ,Ubiquitous museum-guide services "
300,A Conceptual Framework for Augmented Smart Coach Based on Quantified Holistic Self,"Distributed, Ambient, and Pervasive Interactions",,,,10.1007/978-3-319-07788-8_46,Hyoseok YoonYoung Yim DohMun Yong YiWoontack Woo,2014,http://link.springer.com/chapter/10.1007/978-3-319-07788-8_46,Chapter,"Augmented Reality ,Wearable Device ,Wearable Sensor ,Smart Space ,Mobile Augmented Reality "
