title,journal,year,keywords
An Efficient Interest-aware Data Dissemination Approach in Opportunistic Networks,Procedia Computer Science,2019,"Interest-aware, Social feature, Data dissemination, Opportunistic networks"
"DevCom: Device communities for user-friendly and trustworthy communication, sharing, and collaboration",Computer Communications,2016,"Mobile applications, Peer-to-peer, Trustworthy communication, Virtual Private Networks"
Sensor Based Human Activity Recognition Using Adaboost Ensemble Classifier,Procedia Computer Science,2018,"Adaboost Ensemble Classifier, Sensor Based Human Activity Recognition"
Context-aware low power intelligent SmartHome based on the Internet of things,Computers & Electrical Engineering,2016,"IoT, Smarthome, Communication model, Application, Analysis, Visualization"
A Privacy Preserving Algorithm Based on R-constrained Dummy Trajectory in Mobile Social Network,Procedia Computer Science,2018,"Privacy preserving, mobile social network, trajectory privacy, location-based service, R-constrained dummy trajectory"
App based souvenirs and entry tickets: A new means of enhancing post visit memories: A case study from Taiwan,Tourism Management Perspectives,2017,"Interaction techniques, Mobile augmented reality service (MARS), Post-travel experience, Post-travel phase, Ubiquitous and mobile devices"
A holistic self-regulated learning model: A proposal and application in ubiquitous-learning,Expert Systems with Applications,2019,"Technology enhanced learning, Ubiquitous–Learning, Self–regulated learning, metacognition, cognitive load"
The diversity of participatory design research practice at PDC 2002–2012,International Journal of Human-Computer Studies,2015,"Participation, Cooperative design, Design process, Methods, Context"
Towards an understanding of the factors affecting m-learning acceptance: Roles of technological characteristics and compatibility,Asia Pacific Management Review,2015,"Compatibility, Extended technology acceptance model, Innovation diffusion theory, M-learning acceptance, Technological characteristics"
An identity based access control and mutual authentication framework for distributed cloud computing services in IoT environment using smart cards,Procedia Computer Science,2018,"Internet of Things, Cloud Computing, Smart Card, Access Control, Privacy"
Development of a Multi-Vector Information Security Rating Scale for Smart Devices as a Means for Raising Public InfoSec Awareness,Procedia Computer Science,2015,"Information security metrics, information security quantification, information security rating, home and SOHO attack tree, smart devices, public awareness"
"Middleware to Integrate Mobile Devices, Sensors and Cloud Computing",Procedia Computer Science,2015,"Internet of Things, Mobile Cloud Comupting, Smart City, Service Architecture."
"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things",Computer Standards & Interfaces,2018,"Elasticity, Cloud, IoT, Human-based computing"
A novel analysis approach for the design and the development of context-aware applications,Journal of Systems and Software,2017,"Context-aware applications, Analysis procedure for detection, Analysis procedure for prediction, Adaptive thresholds, Prediction models, Extreme Value Theory"
"A survey of values, technologies and contexts in pervasive healthcare",Pervasive and Mobile Computing,2016,"Value-sensitive design, Literature survey, Pervasive health care, Ethical issues"
Using POI functionality and accessibility levels for delivering personalized tourism recommendations,"Computers, Environment and Urban Systems",2019,"Tourism, Recommendation system, User profiles, Point-of-interest, Emotions, Tags"
Multiple-Terminal Aggregation Algorithm for IoT Service,Procedia Computer Science,2019,"IoT, Multi-Terminal Aggregation Algorithm, MMKP, ACO"
A Review on Internet of Things Solutions for Intelligent Energy Control in Buildings for Smart City Applications,Energy Procedia,2017,"Internet of Things, smart city, cloud services, smart biulding, IoT applications, energy control, IoT design challenges"
A path-dependence perspective on the adoption of Internet of Things: Evidence from early adopters of smart and connected sensors in the United States,Government Information Quarterly,2019,"Internet of Things, E-government, Smart sensors, Path dependence, Urban sustainability, Data-driven decision-making"
Developing User Interface Design Application for Children with Autism,Procedia - Social and Behavioral Sciences,2016,"Autism, Touchscreen Apps, User Interface, Numeracy"
A More Human-centric Internet of Things with Temporal and Spatial Context,Procedia Computer Science,2016,"internet of things, human-centric, spatial context, temporal context, proxemics"
SRL-ESA-TextSum: A text summarization approach based on semantic role labeling and explicit semantic analysis,Information Processing & Management,2019,"Text summarization, Semantic role labeling, Wikipedia concepts, Concept graphs, Semantic similarity, Iterative ranking algorithm"
The Impact of Features Extraction on the Sentiment Analysis,Procedia Computer Science,2019,"Accuracy, Classification, N-gram, TF-IDF, Sentiment, Twitter"
Development of an Intelligent System for Smart Home Energy Disaggregation Using Stacked Denoising Autoencoders,Procedia Computer Science,2017,"Intelligent System, Smart Home, Machine Learning, Deep Learning, Energy Management, Non-intrusive Load Monitoring ;"
What Went Wrong? What can go Right? A Prospectus on Human Factors Practice,Procedia Manufacturing,2015,"human factors practice, human-systems integration, problem solving, systems design"
Publish-Subscribe Architecture for Delivering Assistance to Visually Impaired People,IFAC-PapersOnLine,2016,"System architectures, Computer vision, Distributed systems, Computer applications, Obstacle detection, Scene analysis, Object recognition"
A Novel Architecture of Air Pollution Measurement Platform Using 5G and Blockchain for Industrial IoT Applications,Procedia Computer Science,2019,"IoT, 5G, Edge Computing, Cloud Computing, Blockchain"
Classification of Travel Modes Using Streaming GNSS Data,Transportation Research Procedia,2019,"GNSS data, data stream, travel mode, classification, Random Forest, k Nearest Neighbors"
Multi Features and Multi-time steps LSTM Based Methodology for Bike Sharing Availability Prediction,Procedia Computer Science,2019,"Bike-sharing, LSTM, RNN, DNN, Neural Network, Prediction"
Deriving Public Transportation Timetables with Large-Scale Cell Phone Data,Procedia Computer Science,2015,"Cell phone data, Transportation Mode Detection, Public Transportation ;Timetable ;"
An on-demand global time synchronization based on data analysis for wireless sensor networks,Procedia Computer Science,2018,"Global time synchronization, On-demand synchronization, Consensus, Drift compensation, Taylor expansion, Linear regression"
Smart Objects Assisted Event Detection System Using Wireless Sensor Networks,Materials Today: Proceedings,2018,"WSC, Logging system, Smart classes and objects(SCO) and Remote communication"
Requirements Analysis for Context-oriented Systems,Procedia Computer Science,2016,"Pervasive computing, context-aware computing, Information Systems, context modelling"
Ubiquitous conceptual design of a ubiquitous application: A textile SME case study for real time manufacturing monitoring,Computer-Aided Design,2015,"Ubiquitous technologies, Ubiquitous conceptual design, Artifact and service combination, Ubiquitous design support environment, Fuzzy inference system"
On Hierarchical Crossing-layer Binding Update Scheme for Industrial Mobile Networking,Procedia Computer Science,2018,"Location Update, Paging, Hierarchical Macro/Micro-cell, Proxy Mobile IPv6, Crossing-Layer, Binding Update"
Passenger-centric airport management via new terminal interior design concepts,Transportation Research Procedia,2017,"Design Assessment, Terminal Interior Design, Passenger-centric Management, Microscopic Simulation"
ENVISION: Assisted Navigation of Visually Impaired Smartphone Users,Procedia Computer Science,2016,"Navigation tools, Obstacle detection, Visually impaired people, Machine learning"
Integrating Features for Accelerometer-based Activity Recognition,Procedia Computer Science,2016,"Activity recognition, accelerometer analysis, feature selection"
Longitudinal assessment of the behavior-changing effect of app-based eco-feedback in residential buildings,Energy and Buildings,2018,"Eco-feedback, Behavior change, Durability, Mobile app, Energy conservation, Residential building"
"Interaction, new materials & computing – Beyond the disappearing computer, towards material interactions",Materials & Design,2016,"Design, Experiences, Interaction, Interaction design, Materials, Materiality"
Investigating e-business models’ value retention for start-ups: The moderating role of venture capital investment intensity,International Journal of Production Economics,2017,"Internet of things, Mobile application, China, Instrumental variable regression, Business model, Value retention"
A Cluster of CP-ABE Microservices for VANET,Procedia Computer Science,2019,"CP-ABE, VANET, Kubernetes, Microservice"
Art activities with Kinect to Students with Cognitive Disabilities: Improving all Motor Skills,Procedia - Social and Behavioral Sciences,2017,"Kinect, cognitive disabilities, motor skills, physical rehabilititation, games."
STEAM: A Platform for Scalable Spatiotemporal Analytics,Procedia Computer Science,2017,"Big Data Applications, Spatiotemporal Analytics, Service-oriented Architectures"
Trustworthy media news content retrieval from web using truth content discovery algorithm,Cognitive Systems Research,2019,"News content, Information sources, Truth content discovery, Multiple conflicting, Information retrieval"
Exploring the Key Enabling Role of Digital Technologies for PSS Offerings,Procedia CIRP,2016,"PSS, Service-oriented Strategy, Product-Service offering, Digital Technologies, Information management capabilities"
Human dynamics in smart and connected communities,"Computers, Environment and Urban Systems",2018,
An Information-centric Approach to Engineering and Manufacturing Cyber Physical Systems in the Defense Industry,Procedia Computer Science,2015,"information systems, complexity reduction, engineering process"
Classification and suitability of sensing technologies for activity recognition,Computer Communications,2016,"Activity recognition, Sensors, ADL"
"Conspicuous Computing: Gamified Bodies, Playful Composition, and the Monsters in Your Pocket",Computers and Composition,2018,"Play, Wearables, Gaming, Digital composition, Digital rhetoric, New media, Multimodal"
"Smart housing: the political and market responses of the intersections between housing, new sharing economies and smart cities",Cities,2019,
"Context-awareness in industrial applications: definition, classification and use case",Procedia CIRP,2018,"context-awareness, context-aware computing, context-aware systems, context-aware information retrieval, shop-floor information systems"
Digital forensics: the missing piece of the Internet of Things promise,Computer Fraud & Security,2016,
Augmented context-based recommendation service framework using knowledge over the Linked Open Data cloud,Pervasive and Mobile Computing,2015,"Context-aware recommendation algorithm, LOD cloud, Service composition, Ontology, Tag cloud"
Assessment of pedestrian flow volumes through public transport modelling,Procedia Computer Science,2018,"Type your keywords here, separated by semicolons"
Considering context in the design of intelligent systems: Current practices and suggestions for improvement,Journal of Systems and Software,2016,"System design, Design process, Context selection"
Calm ICT design in hotels: A critical review of applications and implications,International Journal of Hospitality Management,2019,"Technology, Hotel, Guest experience, Calm ICT design"
Help The Math Town: Adaptive Multiplayer Math-Science Games using Fuzzy Logic,Procedia Computer Science,2017,"adaptive games, fuzzy, android, psychological aspects"
Referenceable mobile crowdsensing architecture: A healthcare use case,Procedia Computer Science,2018,"mobile sensing, mhealth, tinnitus, reference architecture"
Towards an Adaptive Formative Assessment in Context-Aware Mobile Learning,Procedia Computer Science,2018,"Mobile Learning, Adaptive Assessment, Formative Assessment, Context-Awareness."
Implementing ALPR for detection of traffic violations: a step towards sustainability,Procedia Computer Science,2018,"ALPR, Camera, Traffic Violations, Sustainability, Intellegent Transportation System, Erosion, Convolution, Thinning, OCR"
Deployment and Configuration of Applications for Ambient Systems,Procedia Computer Science,2015,"Ambient Intelligence, Graph homomorphism, Projection algorithm, Heterogeneous systems"
Teaching Digital Literacy Composing Concepts: Focusing on the Layers of Augmented Reality in an Era of Changing Technology,Computers and Composition,2018,"Digital literacies, Augmented reality, Composition, Multimodality, Multiliteracy"
Improving Data Locality in P2P-based Fog Computing Platforms,Procedia Computer Science,2018,"fog computing, P2P overlay, data locality, big data, distributed hash table"
ZigBee and Bluetooth Network based Sensory Data Acquisition System,Procedia Computer Science,2015,"Bluetooth, Smart phone, wireless sensor network, ZigBee"
Risk Assessment Methodology For EMV Financial Transaction Systems,Electronic Notes in Theoretical Computer Science,2018,"Risk Assessment, Risk Management, Modelling, EMV, Financial Transaction Systems"
Toward a simulated replica of futures: Classification and possible trajectories of simulation in futures studies,Futures,2016,"Futures of simulation, Human-machine interaction, Large-network simulation, Emergence, Cognitive science"
Location-based game to enhance player’s experience in survival horror game,Procedia Computer Science,2017,"Location-Based, Experience, Survival Game, Horror Game"
A Practical Approach to Partition Applications in Pervasive Computing Environments,Procedia Computer Science,2015,"software partitioning, framework, distributed systems, pervasive computing system, smart home"
Action-Oriented Programming Model: Collective Executions and Interactions in the Fog,Journal of Systems and Software,2019,"Fog Computing, Edge computing, Socio-technical systems, Programming model, Proximity-based computing"
Crowdsourcing solutions for supporting urban mobility,Procedia Computer Science,2019,"Urban crowdsourcing, Citizensourcing, Urban mobility, Urban crowdsensing"
A Framework for Anomaly Diagnosis in Smart Homes Based on Ontology,Procedia Computer Science,2016,"Context-aware Framework, Anomaly management, AAL, Smart home, Ontology"
"Combining of NFC, BLE and Physical Web Technologies for Objects Authentication on IoT Scenarios",Procedia Computer Science,2017,"NFC, BLE, Physical Web, IoT, Authentication"
Academic agility in digital innovation research: The case of mobile ICT publications within information systems 2000–2014,The Journal of Strategic Information Systems,2015,"Mobile ICT research, IS research, Academic agility, Bibliometric study"
Trust-based Scheme for Alert Spreading in VANET,Procedia Computer Science,2015,"ambient intelligence, security, cooperation, active vehicle, trust management, VANET"
A shape modification app and cyber-physical framework for collaborative manufacturing,Procedia Manufacturing,2019,"Cyber Manufacturing, Internet of Things (IoT), Cyber-Physical Systems (CPS), 3D Printing, Cloud Computing, 3D Printing Monitoring"
A Secure Healthcare System: From Design to Implementation,Procedia Computer Science,2015,"Database design, ER diagram, normalization, healthcare system."
A component based unified architecture for utility service in cloud,Future Generation Computer Systems,2018,"Utility computing, Utility service system, Cloud"
The TrUST Project: Improving the Fruition of Historical Centres through Smart Objects,Procedia Computer Science,2015,"internet of things, cultural heritage, smart object ;"
Exploring mobile application customer loyalty: The moderating effect of use contexts,Telecommunications Policy,2015,"Mobile telecommunication, Mobile application, Loyalty, Value, Satisfaction, Use context"
Intelligent Decision Support System for Dementia Care Through Smart Home,Procedia Computer Science,2016,"Dementia care, Smart homes, Reasoning system, Activity recognition, Decision support system, Markov Logic Network"
A Method Toward Privacy Protection in Context-Aware Environment,Procedia Computer Science,2019,"Privacy, Context-aware, Protection, Context"
Querying Medical Datasets While Preserving Privacy,Procedia Computer Science,2016,"Data disclosure, Data de-identification, Web Services, Data Privacy, Automated Software Engineering"
Sensing comfort in bicycling in addition to travel data,Transportation Research Procedia,2018,"bikeability, comfort, sensing, bio-physiological data"
Trends in Validation of DDoS Research,Procedia Computer Science,2016,"DDoS, Intrusion, Flash Events, Datasets, Network Security"
Design and Development Performance-based into Mobile Learning for TVET,Procedia - Social and Behavioral Sciences,2015,"Mobile learning, design and development, performance-based, TVET ;"
The new General Data Protection Regulation: Still a sound system for the protection of individuals?,Computer Law & Security Review,2016,"EU General Data Protection Regulation, Controller–processor relationship, Internet of things, Individual consent, DPIAs, The right to be forgotten, Data portability, Personal data breach notifications"
Application of Highly flexible self-powered sensors via sequentially deposited piezoelectric fibers on printed circuit board for wearable electronics devices,Sensors and Actuators A: Physical,2017,"Highly flexible, Self-powered, Sequentially deposited, Piezoelectric fibers, Printed circuit board (PCB)"
A Mobile Recommendation System Supporting Group Collaborative Decision Making,Procedia Computer Science,2016,"Recommendation systems, individual and group decision making, multi-platform information integration, mobile applications."
Modelling of Accelerometer Data for Travel Mode Detection by Hierarchical Application of Binomial Logistic Regression,Transportation Research Procedia,2015,"Acceleration, Binomial Logistic Regression, Smartphone, Travel Mode"
A New Security Framework for Cloud Data,Procedia Computer Science,2018,"Genetic Algorithm, Crossover, Mutation, Data Splitting, Cloud Storage, Outsourced Data"
Demystifying big data: Anatomy of big data developmental process,Telecommunications Policy,2016,"Big data, Data ecosystem, Normalization, Normalization process theory, Big data user, Big data user experience"
Empowerment of Assistive Technologies with Mobile Devices in a DUI Ecosystem,Procedia Computer Science,2015,"mobile technology, assistive technology, device ecology, distributed user interaction"
"Context-aware, Accessibility and Dynamic Adaptation of Mobile Interfaces in Business Environments",Procedia Computer Science,2015,"Context-aware, dynamic interface, context, mobile apps"
Quarter-Sphere Support Vector Machine for Fraud Detection in Mobile Telecommunication Networks,Procedia Computer Science,2015,"Mobile communication networks, Fraud detection, Support Vector Machine, One Class-SVM, Quarter-Sphere SVM"
Ensuring Workplace Safety in Goal-based Industrial Manufacturing Systems,Procedia Computer Science,2018,"Workplace Safety, Automated Planning, Semantic Web, SPIN Reasoning, Web of Things, Internet of Things"
Hybrid reality-based user experience and evaluation of a context-aware smart home,Computers in Industry,2016,"User experience of smart home, Augmented reality, Virtual reality, Hybrid reality, Visualization and interaction"
Energy Management in Wireless Sensor Network Using PEGASIS,Procedia Computer Science,2016,"PEGASIS, LEACH protocol, Sensor"
Incorporating Social Sensors and CPS Nodes for Personalized Production under Social Manufacturing Environment,Procedia CIRP,2016,"Social sensors, CPS/CPSS, personalized production, social manufacturing"
Comparing Drools and Ontology Reasoning Approaches for Automated Monitoring in Telecommunication Processes,Procedia Computer Science,2016,"Service monitoring, automated reconfiguration, ontologies, rules, service composition."
Understanding human-data interaction: Literature review and recommendations for design,International Journal of Human-Computer Studies,2020,"Human-Data Interaction, Literature review, Research challenges, Data deluge"
Situation awareness in the speech therapy domain: A systematic mapping study,Computer Speech & Language,2019,"Situation awareness, Speech therapy, Speech sound disorders, Speech recognition"
Hybrid modeling approach for contextualized community detection in multilayer social network: emergency management case study,Procedia Computer Science,2017,"Situation, communities, semantic, ontology-based model, graph-based model"
Near Real-Time Appliance Recognition Using Low Frequency Monitoring and Active Learning Methods,Energy Procedia,2017,"NILM, Appliance recognition, active learning"
Innovative Approach in AGILE Policies Validation,IFAC-PapersOnLine,2018,"Automatic control, Computer aided software engineering, Computer applications, Software performance"
Improving Quality of Medical Service with Mobile Health Software,Procedia Computer Science,2015,"m-Health application, Healthcare, Healthcare Professionals, Healthcare Quality, Clinical Information, INTCare, Calm Computing, Pervasive Systems, Ubiquitouse"
Predicting Large Scale Fine Grain Energy Consumption,Energy Procedia,2017,"energy data, big data frameworks, data mining algorithms, data stream analysis"
Identifying Circles of Relations from Smartphone Photo Gallery,Procedia Computer Science,2015,"Geotagged photos, Circles of the relations, Interests, Geolocation, Social Relations, Fuzzy C Means, Face detection, Interest detection ;"
What does Industry 4.0 mean to Supply Chain?,Procedia Manufacturing,2017,"Supply Chain Management, Industry 4.0, Internet of Things, IoT, impact"
2015 William Hunter Harridge lecture: how did we go from operating on nearly all injured kidneys to operating on almost none of them?,The American Journal of Surgery,2016,"Renal trauma, Nonoperative management, Expectant management, Kidney injury, Conservative management"
Major requirements for building Smart Homes in Smart Cities based on Internet of Things technologies,Future Generation Computer Systems,2017,"Smart Cities, Smart Home requirements, Ambient intelligence, Internet of Things, Home Automation"
A Mixed-reality Learning Environment,Procedia Computer Science,2015,"Training Systems, Advanced Interaction, Digital Factory, Factory of the Future, Virtual Reality, Industry 4.0"
Utilizing end User Input in Early Product Development,Procedia Manufacturing,2015,"Product design, Augmented reality, User input, Usability"
Mining a Ubiquitous Time and Attendance Schema Using Random Forests for Intrusion Detection,Procedia Technology,2016,"ubiquitous, Time and Attendance, Intrusion Detection"
Organic Interactive Displays: A Bridge from History,Procedia Computer Science,2015,"Organic User Interface, interaction design, flexible displays, e-paper, e-textiles ;"
Exploiting Model Checking for Mobile Botnet Detection,Procedia Computer Science,2019,"malware, botnet, Android, model checking, formal methods, temporal logic, security"
"Artificial intelligence in seismology: advent, performance and future trends",Geoscience Frontiers,2019,"Seismology, Artificial intelligence, Machine learning, Deep learning, Internet-of-Things"
Indoor location service in support of a smart manufacturing facility,Computers in Industry,2018,"RSSI, Indoor localization, Bluetooth, Android OS, Cloud, Industry 4.0"
A Novel Family Genetic Approach for Virtual Machine Allocation,Procedia Computer Science,2015,"Cloud Computing, Genetic Algorithm, Virtual machine allocation, Family gene, Energy-efficient"
"iTrip, a framework to enhance urban mobility by leveraging various data sources",Transportation Research Procedia,2017,"Big Data, OSNs, IoT, Urban mobility, Location based services, customer satisfaction, road planning"
A New Approach for Automatic Detection of Tactile Paving Surfaces in Sidewalks,Procedia Computer Science,2016,"image processing, tactile paving surface, accessibility application"
Telerehabilitation Service with a Robot for Autism Intervention,Procedia Computer Science,2015,"telerehabilitation, rehabilitation robotics, humanoid robot, Autism Spectrum Disorder"
A Digital Twin based Service Oriented Application for a 4.0 Knowledge Navigation in the Smart Factory,IFAC-PapersOnLine,2018,"Industry 4.0, Industrial Internet of Services, Knowledge Management, Digital Twin, Smart Factory, Cyber Physical Systems"
Use of a Novel Imaging Technology for Remote Autism Diagnosis: A Reflection on Experience of Stakeholders,Procedia Manufacturing,2015,"Remote autism diagnosis, NODA ;In-home behavior recording, Naturalistic observation diagnostic assessment, In-field evaluation"
Mental Stress Detection in University Students using Machine Learning Algorithms,Procedia Computer Science,2019,"Classification algorithms, Mental Stress, Perceived Stress Scale, Sensitivity, and Specificity"
A Context Broker for Better Access to Quality and Cost-effective Healthcare,Procedia Computer Science,2017,"Broker, context, healthcare, fuzzy logic"
Social Accessibility Action to Improve Quality of OER User-generated Video-classes and Associated Resources,Procedia Computer Science,2015,"social accessibility, on-line volunteering, digital inclusion, multimedia repository, educational resources, people with functional diversity"
Simulation of automated transport offers for the city of Brunswick,Procedia Computer Science,2018,"agent-based demand modelling, automated vehicles, vehicle on demand, simulation"
TrailTrade: A model for trail-aware commerce support,Computers in Industry,2016,"Context awareness, Context-aware commerce, Trail awareness, Trail-aware commerce"
Mobile activity recognition and fall detection system for elderly people using Ameva algorithm,Pervasive and Mobile Computing,2017,"Activity recognition, Artificial intelligent, Cognitive computing, Contextual information, Mobile environment, Smart-energy computing"
Research of Zigbee and Big Data Analysis Based Pulse Monitoring System for Efficient Physical Training,Procedia Computer Science,2016,"IOT, ZigBee, Big Data Analysis, Pulse Monitoring, Physical Training"
Network-Wide Anomalous Flow Identification Method based on Traffic Characteristics Distribution,Procedia Computer Science,2018,"traffic characteristics distribution, anomalous flows identification, successive-reduction, association rule mining, network-wide monitoring"
Minimizing Query Delay Using Co-operation in IVANET,Procedia Computer Science,2015,"Cache Invalidation, Co-operation ;MANET, VANET ;Wireless Communication, Query Response Time ;"
Adaptive Goal Selection for improving Situation Awareness: the Fleet Management case study,Procedia Computer Science,2017,"Situation Awareness, Intelligent Transportation System, Reinforcement Learning"
On Microcell-Macrocell Handoff Queueing scheme in Heterogeneous Industrial Networks,Procedia Computer Science,2018,"Mobile Networks, Hand-off Queueing, Hierarchical Networks, Mobility Management"
Towards Behavioral Web Service Discovery Approach: State of the Art,Procedia Computer Science,2016,"WS, WS discovery, WS selection, Behavior, comparison"
An Inertial Sensor-based Trigger Algorithm for Functional Electrical Stimulation-Assisted Swimming in Paraplegics,IFAC-PapersOnLine,2019,"Neurostimulation, Assistive devices"
Efficient integration of RSSI for tracking using Wireless Camera Networks,Information Fusion,2017,"Camera networks, RSSI, Wireless Sensor Networks"
The Effectiveness of D-Case Application Knowledge on a Safety Process,Procedia Computer Science,2015,"Assurance Case, Goal Structuring Notation, HAZOP, FTA, Hazard, Failure mode, ISO26262, Stakeholder ;"
Usability Issues of Virtual Reality Learning Simulator in Healthcare and Cybersecurity,Procedia Computer Science,2017,"Virtual reality, usability, user experience, case study, cybersecurity"
Anomaly Detection in Roads with a Data Mining Approach,Procedia Computer Science,2017,"Road Anomalies, Data Mining, Data Analitics"
Mobile Systems applied to Traffic Management and Safety: a state of the art,Procedia Computer Science,2018,"Traffic management, safety, Mobile systems, Smartphone, Traffic control"
A novel multimodal communication framework using robot partner for aging population,Expert Systems with Applications,2015,"Human–robot interaction, Robot partner, Intelligent robot, Aging, Gesture recognition"
QoS Aware Trust Metric based Framework for Wireless Sensor Networks,Procedia Computer Science,2015,"Energy Awareness, Routing Security, Trustworthiness, Quality of Service, Wireless Sensor Networks"
Enhancing reliability in Wireless Sensor Networks for adaptive river monitoring systems: Reflections on their long-term deployment in Brazil,"Computers, Environment and Urban Systems",2017,"Wireless Sensor Network, Smart cities, Sensing critical environments, Public safety, Disaster resilience, Communications networks"
Recognition of Faces – An Optimized Algorithmic Chain,Procedia Computer Science,2016,"Face Recognition, HCI, IoT, LBP, Neural Networks (NN)."
UltraSense: A Self-Calibrating Ultrasound-Based Room Occupancy Sensing System,Procedia Computer Science,2017,"occupancy sensing, ultrasound, unsupervised learning"
Evaluation of ridesharing impacts using an integrated transport land-use model: a case study for the Paris region,Transportation Research Procedia,2017,"ridesharing, transport, land-use, traffic congestion, pollutant emissions"
A Concept for the Architecture of an Open Platform for Modular Mobility Services in the Smart City,Transportation Research Procedia,2016,"Mobility services, mobility solutions, platform, smart city, open platform"
Designing Games for Children with developmental disabilities in Ambient Intelligence Environments,International Journal of Child-Computer Interaction,2017,"Ambient intelligence, Interactive games, Developmental disorders, Early intervention services, Occupational therapy"
IT Service Platforms: Their Value Creation Model and the Impact of their Level of Openness on their Adoption,Procedia Computer Science,2015,"open IT service platforms, interoperability, portability, usability, openness, cloud computing adoption, value creation model, simulation, computational economics, system dynamics, value networks"
Service-oriented communication model for cyber-physical-production-systems,Procedia CIRP,2018,"Industry 4.0, Cyber-Physical-Production-System, Industiral communication, Learning factory"
Secure Access Augmented Reality Solution for Mobile Maintenance Support Utilizing Condition-Oriented Work Instructions,Procedia CIRP,2015,"Augmented Reality, mobile devices, marking technology, authentication, maintenance"
"Reinforcing Social Media Based Learning, Knowledge Acquisition and Learning Evaluation",Procedia - Social and Behavioral Sciences,2016,"Collaborative and cooperative content creation, connectivism, e-learning 2.0, flipped classroom learning, gamification, open educational resources, massive open online courses."
Towards Context-aware Surveys Using Bluetooth Beacons,Procedia Computer Science,2016,"Context Aware, Location Aware, Indoor Location, Bluetooth Low Energy, iBeacon, Internet Of Things ;"
Generic Context Adaptation for Mobile Cloud Computing Environments,Procedia Computer Science,2016,"Mobile Cloud Computing, Mobile Edge Computing, Context Adaptation, Context Awareness"
Design and Implementation of Monitoring System Architecture for Smart Bicycle Platform,Procedia Computer Science,2018,"Remote monitoring, Wireless sensor network, Smart phone based monitoring, Bicycle monitoring"
Benchmarking real-time vehicle data streaming models for a smart city,Information Systems,2017,"Smart city, Data streaming, Big Data, Distributed systems, Simulator"
From digitization to the age of acceleration: On information technology and tourism,Tourism Management Perspectives,2018,"Information technology, Tourism, Tourism management, Research development, Knowledge management, Big data"
Using New Communication and Information Technologies in Preschool Education,Procedia - Social and Behavioral Sciences,2015,"teachers, preschool education, educational resources, new information technologies."
Designing privacy-aware internet of things applications,Information Sciences,2020,"Internet of things, Software engineering, Privacy by Design"
Understanding Mobility via Deep Multi-Scale Learning,Procedia Computer Science,2019,"Trajectory data, Mobility, Deep Multi-Scale Learning"
"Public visualization displays of citizen data: Design, impact and implications",International Journal of Human-Computer Studies,2015,"Public display, Urban screen, Urban visualization, In-the-wild study, Awareness, Reflection, Discussion, Evaluation, Sustainability, Civic engagement, Persuasive technology"
Social workflows—Vision and potential study,Information Systems,2015,"Social workflows, Potential study, Process-oriented case-based reasoning, Knowledge management"
Sensor System for Precision Shooting Evaluation and Real-time Biofeedback,Procedia Computer Science,2019,"precision shooting, wireless sensor, shooting evaluation, augmented feedback, real-time biofeedback"
Context Modeling for Industry 4.0: an Ontology-Based Proposal,Procedia Computer Science,2018,"Industry 4.0, Context Modeling, Reasoning, Ontology"
The effectiveness of the meaningful learning-based evaluation for different achieving students in a ubiquitous learning context,Computers & Education,2015,"Evaluation methodologies, Evaluation of CAL systems, Human–computer interface"
Reconsidering human dignity in the new era,New Ideas in Psychology,2019,"Dichotomy, Digital world, Dual-use technologies, Human-technology symbionts, Human dignity threats"
Embedding intermodal mobility behavior in an agent-based demand model,Procedia Computer Science,2018,"agent-based demand modelling, intermodality, nested logit model"
UMAFall: A Multisensor Dataset for the Research on Automatic Fall Detection,Procedia Computer Science,2017,"Fall detection systems, accelerometer, gyroscope, smartphone, dataset, wearable, sensors"
RFID mutual-authentication protocol with synchronous updated-keys based on Hash function,The Journal of China Universities of Posts and Telecommunications,2015,"RFID, mutual-authentication protocol, Hash function, synchronization, BAN logic"
Evaluation of classification methodologies and Features selection from smart meter data,Energy Procedia,2017,"Loads recognition, NILM, Smart meter, Feature selection"
Enhanced Approach to Detect Malicious VBScript Files Based on Data Mining Techniques,Procedia Computer Science,2018,"Malicious scripts, Malware analysis, VBScripts, Script-based malware"
Blood Detection in Biomedical Images using a Software Analysis,IFAC-PapersOnLine,2015,"capsular endoscopy, computer vision, feature detection, OpenCV"
Social Internet of Industrial Things for Industrial and Manufacturing Assets**Acknowledgments to financial support of Cambridge Trust and China Scholarship Council.,IFAC-PapersOnLine,2016,"Internet of Things, Social Media, asset management, condition-based maintenance, decision support, system performance optimisation"
"Proposition of the methodology for Data Acquisition, Analysis and Visualization in support of Industry 4.0",Procedia Computer Science,2019,"SOEKS, DDNA, Data Visualization, Industry 4.0"
Energy-aware load monitoring for improving battery life of mobile peer-to-peer nodes,Sustainable Computing: Informatics and Systems,2016,"Energy-efficiency, Load monitoring, Load balancing, Peer-to-peer systems, Distributed systems"
Human Cognitive Control Mode Estimation Using JINS MEME,IFAC-PapersOnLine,2016,"Mental workload, Human reliability, Wearable device, Machine learning, Evaluation, Operators"
A scalable real-time tracking and monitoring architecture for logistics and transport in RoRo terminals,Procedia Computer Science,2019,"Tracking, Monitoring, Seaport, RoRo terminal, Logistics, Process mining, QRcode, barcode, Stay time, Processing"
