title,journal,year,abstract
An Approach to the Central Control Part of Digital Satellite Receiver Based on Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"Pervasive computing enables people to obtain all kinds of information at any time and place. In this paper, considering the embedded device which is the key technology of the pervasive computing, it uses the Nios II embedded soft core processor to realize the central control part of digital satellite receiver. Utilizing the hardware customized characteristic of Nios II, this paper promotes a central control scheme of the digital satellite receiver which has the desire of the higher reliability, the lower cost and the smaller volume."
Intelligent Solar Energy Monitoring System under Pervasive Computing Environment,2008 Third International Conference on Pervasive Computing and Applications,2008,"Pervasive computing mainly emphasize on the seamless integration of informational space and physical space, that is, the seamless integration of human, computer and environment. With the development of pervasive computing, there are some challenges about traditional software technology, and need new software architecture to meet it. In this paper, to adapt to the practical requirements, we use the hierarchical structure to develop an intelligent solar energy monitoring system under pervasive computing environment."
Towards using data aggregation techniques in ubiquitous computing environments,Fourth Annual IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOMW'06),2006,"Ubiquitous computing envisions the era of computing where pro-active computing services are available to all any where, any time. In order to provide such pervasive services, an ubiquitous system collects a large amount of information continuously from its physical and computational environment. Managing and manipulating this information optimally is one of the most important aspects of ubiquitous computing system. We have proposed formal schemes for the storage and management of this information using the summarization techniques. We prepare aggregates or summary of information present in the repository and try only to use these summaries and aggregates most of the time for query processing. This approach not only saves the storage space but also results in efficient distributed and mobile data processing"
Logistics Management System Design under Pervasive Computing Environment,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"Pervasive computing as the third mode of computing is being applied in all aspects of life. The paper has given out a new design of logistic by using products and theory of pervasive. Design of modern logistics management system, under using of pervasive computing environment, will make Logistics industry achieve greater efficiency and more relaxed management environment."
Java Implementation of Mobility Agent in the Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"An innovative computation framework is discussed in the paper. The novel framework is suitable for the pervasive computing and is based on Java technology. Agents are the computation entities which essentially are Java class files. A new pervasive computing system consists of the framework and agents. Agents run on the framework under the control of a servlet and can move from a computer to another. Therefore, the agents in the framework are called mobility agent. Servlets act as controller in the computation framework. Because RMI hides communication details between Java objects, the framework takes RMI as the distributed model"
Trust Propagation Model in Pervasive Computing Environment,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"Trust is the fundamental building blocks in pervasive computing environment. In many ubiquitous application systems, trust quantification and propagation are the key issues to build successful architectures. According to the need of pervasive computing, some current trust propagation models are analyzed. In order to solve those problems, a definition of trust strength is proposed. And an improved parallelization algorithm is presented. A novel trust propagation model based on recommendation is proposed. Finally, a simulation testbed is built up to examine the trust propagation model."
Research on Agent-based IGDSS in Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"This paper is based on natural disaster forecast. In this paper we describe our ongoing work, where we abstract the system process of common IGDSS for disaster forecast, research on the design and the realization of IGDSS in pervasive computing, especially its architecture and how to integrate MAS into the development. The organization of agent platform is also presented. The idea of using JADE-LEAP framework to implement agent-based IGDSS in pervasive computing is proposed too. Finally we implemented a prototype and analyzed the experimental result"
A CORBA Trader-based Dynamic Binding Infrastructure in Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"Pervasive computing environments are far more dynamic and heterogeneous than enterprise environments, in which, the computing is invisible for users, but they may still enjoy its services perfectly. In order to realize this stirring idea, the system needs to automatically discover, use the devices and services. The paper introduces A CORBA trader-based dynamic binding infrastructure called CTDBI that automatically deals with issues of service discovery and binding. The CTDBI mask the dynamic and heterogeneous environment, and provide constant available services to application through uniform interface. By providing robust separation of concerns to applications, it can simplify the implementation of application in pervasive computing. It also uses a contextual approach to improve the efficiency of discovery mechanism. Finally, we have presented detailed examples to evaluate the validity of CTDBI"
Pervasive Computing Model of Target Detection Based on the Image,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"This Pervasive computing is the ""post-PC"" product of the times, and are profoundly affecting computer vision science. Using of pervasive computing method can achieve accurate detection of objects moving target location, thus fulfilling the object of physical space and information space integration. Based on the binocular visual motion detection algorithm is proposed. Using multiple cameras for eyes can deal with moving object location information. The article designs pixel coordinate system of regional small objects, and then confirmes the location of the object's coordinates."
The Application Research of Coupled Chaos Stream Cipher for Pervasive Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"The security of some special pervasive computing systems is very important, but generally speaking, the system resource of pervasive computing device is limited, so a cipher algorithm which possesses high security and low computational complexity is needed. This article puts forward a coupled chaos cipher algorithm based on the one dimensional logistic chaos mapping and piecewise linear chaos mapping, and gives the method to transform the outcome of the algorithm into binary sequence, then analyses the random statistical characteristic of the sequence generated by the algorithm, finally, gives a hardware implementation method of the algorithm."
A Service-oriented Adaptive Framework for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"In pervasive computing, the service adaptation means that users can persistently and continuously access services through any mobile device, in any time and in any location. This paper proposes an application layer adaptive framework for services operation of pervasive computing. In this framework, proxy technology and context technology are utilized to realize the adaptation. Through these, users can automatically continue the access of a service. In this paper, a simulation experiment is designed to validate the feasibility of the framework"
Flying Control System Architecture of Informationization for Pervasive Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"The paper involves one kind of mobile autonomous running system for pervasive computing. The developing requirements about aircraft flying control system of informationization were firstly analyzed, then the architecture on aircraft flying control system of informationization based on pervasive computing was presented. Lastly the design conception and its accuracy were verified by principle prototypes."
Research on context-aware scheduling algorithms in pervasive computing environments,5th International Conference on Pervasive Computing and Applications,2010,"Due to the context of pervasive computing with time-sensitive, the system scheduling management module must support real-time scheduling of context-aware. When a context information acting on the high-level application, may make other emergency contexts in a wait state which is not conducive to real-time systems and efficient implementation in ubiquitous computing environment. In order to solve this problem, the paper proposed a context priority scheduling algorithm based on correlation, whose idea is to schedule on the basic of the correlation between different context elements, priority, average priority of several semantic contexts which consists of a number of context elements, its purpose is to speculate emergencies that about to happen next and better reflect the real-time systems and high efficiency. Experiments show that with an average priority context scheduling can reduce the average waiting time of CPU and increase CPU utilization."
Adaptation in Pervasive Computing Environments: A Multi-agent approach,2006 International Symposium on Ad Hoc and Ubiquitous Computing,2006,"This paper proposes a multi-agent based context-aware adaptive system that can autonomously adapt the levels of performance of applications/services in event of a significant mismatch between demand and supply of resources in a pervasive computing environment. In event of scarcity of resources, the system autonomously chooses a best-fit adaptation strategy relevant to the context based on user preferences. The primary emphasis here is to continue to provide acceptable levels of a service, avoiding as far as possible, a direct involvement of the user."
Non-anchored Unified Naming for Ubiquitous Computing Environments,2008 Sixth Annual IEEE International Conference on Pervasive Computing and Communications (PerCom),2008,"Users and developers require some way to identify by human readable names the many resources that comprise a ubiquitous computing environment. In addition, naming in such environments should work well despite ad hoc situations, and it should also provide context-based naming. This paper describes the Non- anchored Unified Naming (NUN) system, which satisfies these requirements. It is based on relative naming among resources and provides the ability to name arbitrary types of resources. By having resources themselves take part in naming, resources are able to contribute their specialized knowledge into the name resolution process, making context-dependent mapping of names to resources possible."
Context Selection and Reasoning in Ubiquitous Computing,The 2007 International Conference on Intelligent Pervasive Computing (IPC 2007),2007,"Context reasoning refers to the process of giving high-level context deduction from a set of low-level contexts. It plays an indispensable role in ubiquitous computing. Most existing reasoning methods are proposed with the assumption that the knowledge of low-level context which is relevant to the given high- level context reasoning is available. When this information is lack, the existing methods blindly select some possible low-level contexts for reasoning, so that useless context might be included. These useless contexts have no or little favorable effect for reasoning and increase computation burden as well as repository burden. To deal with this problem, we use information gain-based method for context selection in our work. Only selected contexts are used for reasoning. Experimental results show that our proposed approach is promising."
A Context-Based and Associated Access Control model in Pervasive Computing Environment,2007 2nd International Conference on Pervasive Computing and Applications,2007,"In this paper, the features of access control in pervasive computing environment are summarized and the limitations of previous models are discussed. Then, a context-based and associated access control model is proposed, which integrates the principles of TBAC and RBAC and uses the environment context as a factor to reason role assigning and authority granting. The proposed model shows effectiveness in simplifying the procedures of access control and ensuring security. It also improves the flexibility and intelligence of access control, and those are the prerequisite of the transparency service. The structure of the proposed model and related definitions are described in this paper. Finally the design and implementation of the prototype system based on the model are also put forward."
A Model of Network Forewarning System for Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,We have proposed a model of distributed cooperation network forewarning system for the pervasive computing. It combines entity and service behavior characteristics according to the relationship of time and location. Through cooperation of various management domains a distributed cooperation network forewarning system across domain has then been designed. The system uses a method of correlated sample elements to establish sample information and thus increases the precision of forewarning and diminishes misreports.
An Impovement for Adaptiong the Alignment Template Based Statistical Machine Translation Model to Pervasive Computing Environments,2006 First International Symposium on Pervasive Computing and Applications,2006,"Machine translation (MT) has a variety of applications in pervasive computing environments. Thin clients such as personal digital assistants (PDA) are always deployed with small memory. In this paper, a novel method to improve the performance of alignment template based translation model (ATTM), which is the state-of-art MT models, was proposed. The key element, alignment template of ATTM, was extended to be context sensitive alignment templates (CSAT) based on the context information. After applying CSAT, the ATTM would use less time and memory during the decoding stage, and thus might be more suitable for small memory environments. In the end of this paper, an experiment was presented and the results showed that this proposed method could improve the performance greatly"
Reinvigorating the Discipline: Pervasive Computing and Tomorrow's Computer Scientists,,2007,"Declining enrollments in computer science and related fields are a global concern. This issue's column, by Mike Hazas and Rebecca Marsden of Lancaster University in the UK, describes the novel Lancaster Headstart program that uses the excitement of pervasive computing to attract students into computer science."
Study on Pervasive Computing-Based Process Management in Cooperative Design for Architectural Construction Engineering,2006 First International Symposium on Pervasive Computing and Applications,2006,"Based on the theory of pervasive computing, and according to the characters of information management in institutes of design, CDPMS (Command-Dispatching and Process Management System) is designed and developed. It is a sub-system of CodeFAR. CDPMS is used to manage and configure the process and the resources in cooperative design by workflow. By the cooperative work platform in CodeFAR, the methods, such as task decomposition tree, project progress rate and performance recording, are adopted to implement the functions of task dispatching, scheduling control, document management, and performance management"
Anonymous routing protocol in pervasive computing environment,2007 2nd International Conference on Pervasive Computing and Applications,2007,"In pervasive computing environment privacy concerns should be taken into account. A anonymous routing protocol is presented, which preserves the IP address of users and keep their communication anonymous. The protocol can conceal the source and destination IP address in order to protect them. Yet users will still be able to communicate with other entities. Moreover the protocol can resist denial of service."
Security and Privacy in Pervasive Computing,,2007,"In this issue's Works in Progress department, we have six projects. The first two projects address an individual's privacy concerns and preferences. The next entry discusses a project on data protection for electronic passports. The remaining three projects are investigating various types of privacy protection mechanisms for data collected in pervasive computing environments, by attestation services, and by voice recording systems."
Building Personal Process-Oriented Services in Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"Due to the large success of wireless networks and handheld devices, the pervasive computing paradigm is becoming a reality. While little research and development effort have been made to provide process-oriented services, especially for individuals. The personal processes have many their own characteristics. In this paper, we describe a method of building process-oriented services to individual users. Users specify their preferences by inheriting existing process repository, building their own personal processes according to their own proposed requirements. These processes can help users in planning their activities while they are on the move. We have been designing a prototyped process-oriented services system based on the proposed method. Experiences with this implementation are provided."
Case Study: The Condition of Ubiquitous Computing Application in Indonesia,2009 WRI World Congress on Software Engineering,2009,"Generally, people, especially in developing countries, does not realize that they are in third of computer revolution era. They are in the era of ubiquitous computing, which mean that they can interact with the computer everywhere and anytime, not just sitting in front of the PC (one person many computers). Furthermore, the social and political challenges of the ubiquitous computing era will be characterized by an increasing dependence on technology, control over the information to which everyday objects are linked, and the protection of privacy. In this paper, we present the study about the condition of ubiquitous computing application in Indonesia. We divide the application of ubiquitous computing in Indonesia into three parts, i.e. ubiquitous mobile application, ubiquitous web application, and ubiquitous payment system application. Hopefully this paper could become the knowledge about the ubiquitous computing application in Indonesia."
Experiences teaching a course on wearable and ubiquitous computing,"IEEE Annual Conference on Pervasive Computing and Communications Workshops, 2004. Proceedings of the Second",2004,"We describe experiences teaching a course on wearable and ubiquitous computing to seniors and graduate students at Virginia Tech over the last two years. Major topics include low power hardware/software design, user input/output devices, context- and location-awareness, and application case studies. Readings for the course are taken mainly from the recent research literature, as there is no textbook that adequately covers the area. A large portion of the course involves design projects pursued by teams of two to four students; these projects are usually related to ongoing research projects within the department. We conclude with ruminations on ways to improve future offerings of the course."
XVMF: an extensible and versatile matchmaking framework for supporting dynamic application adaptation in ubiquitous computing environments,Fourth Annual IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOMW'06),2006,"This paper presents XVMF, an extensible and versatile matchmaking framework, which supports various service substitution mechanisms in dynamic application adaptation for ubiquitous computing environments. XVMF enables various substitution mechanisms to be easily developed by providing common abstracts for implementing a service substitution mechanism. It also allows an application or a user to select the most appropriate substitution mechanism with respect to its requirements by providing various substitution policies. The current Java implementation of XVMF supports three existing substitution mechanisms"
A framework for describing interference in ubiquitous computing environments,Fourth Annual IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOMW'06),2006,"Ubiquitous computing environments consist of numerous interacting components, many of which have been developed in isolation from each other. Unless appropriate measures are taken, interference (where a component's behavior in a deployed system differs from its behavior when in isolation) is likely to be commonplace. In this paper we explore the importance of this problem and present our work-in-progress on a framework that enables designers, developers, and researchers to describe and thus reason about interference in ubicomp environments"
A Gradient-based Edge Detector For Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"A gradient-based edge detection scheme for pervasive computing is proposed, which is deduced from Fresnel diffraction. It is a pair of 3 times 3 convolution kernels for measuring horizontal and vertical gradients. While the new method can gives quantitative results equal to the Canny detector while it is simple. So it is more suitable for different kinds of computing platforms."
A Location Algorithm Integrating GPS and WSN in Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"An integrated location algorithm using satellite location and wireless sensor networks (WSN) is put forward to solve the issues of seamless location both indoors and outdoors in a pervasive computing environment in this paper. Pseudorange observation data of global positioning system (GPS) and distance observation data of WSN are utilized to carry out positioning. Simulation results show that comparing with traditional GPS location algorithm, adaptation range is increased and positioning with less than four satellites is realized using the algorithm; and comparing with WSN location algorithm, the algorithm has a higher precision."
An Innovative Network Control Framework Integrated with Congestion Control and Traffic Control in a Pervasive Computing Environment,2006 First International Symposium on Pervasive Computing and Applications,2006,"Wireless links with high latency are commonplace in pervasive computing, but because TCP reacts adversely to increases in bandwidth or delay, present network transport protocol cannot offer a steady environment for the high bandwidth-delay networks. The network congestion control problem is becoming mo re and more serious. High bandwidth-delay networks are environments where the per-flow bandwidth can reach several Gb/s, so the receiver's speed should be taken into account. Based on the XCP architecture, an innovative network framework integrated with congestion control and traffic control is addressed in this paper, aiming at solving the burst traffic problem in the receiver"
User Interest Learning in Pervasive Computing Environment,2008 Third International Conference on Pervasive Computing and Applications,2008,"The advent of pervasive computing puts forward a new challenge for individual information research. With the explosion of information on the Internet, finding information relevant to a user's interest can be a time-consuming and tedious task. User interest learning plays an important role in information personalization. In this paper, a learning approach to acquire and update user interest is proposed. The approach firstly models user profile as feature vectors. Then pervasive device captures user's implicit feedback based on his/her reading behavior and delivers it to the server. At last, the server infers user interest and updates user profile by adjusting the weights of features to keep track of the dynamic change of user interest. The experiment suggests that the way of implicit feedback in the approach is effective and the precision of the information given to users is encouraging."
Simultaneous Measurements of Strain and Temperature with Dual Fiber Bragg Gratings for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"Smart sensors are the key components of pervasive computing networks. The fiber Bragg grating (FBG) can be composed of the distributed sensing networks for the high sensitivity. The cross-sensitivity is the intrinsic problem of FBG sensors. We analyzed the influence of the measurand-strain (or temperature) effect on temperature (or strain) in fiber-optic sensors that employ FBGs. Based on the mode-coupling theory, equation of fiber Bragg grating and the formula of the cross-sensitivity of strain and temperature were obtained. The physical mechanics of the cross-sensitivity in fiber gratings sensors is described. We show that a sensor scheme consisting of two FBGs gives large discrimination against temperature and strain. The characteristics of the solution with dual-wavelength matrix measuring strain and temperature simultaneously is discussed. The matrix of strain and temperature with wavelength change of dual FBG is explained. The relationship of strain (temperature) with two wavelengths shifts was obtained. By enhancing the FBG s temperature sensitivity or using polymer grating instead of one FBG, the condition number of the matrix of sensitivities can be dropped, so the accuracy of the sensor can be improved. The feasibility of using this type of embedded sensors configuration for simultaneous strain and temperature measurements was demonstrated"
A Method of Experienced Furniture Customization for Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"With the development of information technology, product customization provides an effective way for customers to meet their demand for personalized products and services. The article preliminarily presents a method of experienced furniture customization for pervasive computing. A prototype system has been built for furniture customization by using this method. The modeling of the virtual furniture has been deeply developed. Finally, the method presented in the article has been successfully demonstrated by some examples such as cupboard, swivel chair and desk."
So Smart - modeling social contexts to improve smart objects awareness in pervasive computing environments,2011 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),2011,"Smart objects are gradually integrating into people's everyday life. While many context-aware solutions for pervasive computing environments do not consider users social aspects, we believe smart objects should be social-aware. So Smart aims at filling the gap in social understanding of the user environment, presenting an ontology based context model to support social context representation and automated social context reasoning."
Implementation of an ASP-oriented Distributed Collaborative Design System and its Applications in Pervasive Computing Environment,2007 2nd International Conference on Pervasive Computing and Applications,2007,"With the progress of globalization, current product design in manufacturing enterprises demand distributed, heterogeneous, and real-time supporting environment; however, most of manufacturing enterprises in China, especially those small and medium enterprises, can not afford to buy the expensive software, hardware and service for the special purpose. Collaborative design is the most important task of all activities at the product development lifecycle under Networked Manufacturing (NM) and Application Service Provider (ASP) oriented system is an effective approach to NM platforms. In this paper, combined industrial requirements with our efforts in some research projects funded by the Hi-Tech R&D Program of China and Beijing Municipal Sci-Tech Program, an ASP-oriented distributed collaborative design system namely Co-Design is proposed to support remote collaboration among enterprises in a pervasive computing environment. Architecture of the system is presented and some key techniques of collaborative design are researched. Now the proposed Co-Design system has been implemented and used as ASP tools to help several small and medium enterprises to accelerate their product development and typical application examples shows that substantial benefits can be achieved by reducing of collaboration expenditure, development cost and shortening time to market."
Deployment of Service Nodes on the Basis of User Groups in the Pervasive computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"Pervasive computing has found quite extensive application in recent years, thus how to deploy service nodes more adequately so as to ensure the efficacious application has become an important problem. In this paper a method of deployment based on service nodes of user groups is suggested. The user groups are first classified and then a minimal dominating set is found. On the basis of this set a weight to each user group is given in order to obtain the optimal dominating set. In this way a relatively simple and useful approach to select and deploy service nodes is established."
Technology of Network Management for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"In this article, a model of computer network management is presented in detail in order to monitoring the network for the administrator to see the distribution of the flow online, which can be used to monitoring the statistic and the analysis of the traffic in the network, combines the theory of pervasive computing with the traditional technology of network management. As an important part in this model, a security service module based on GSS-API (generic security service application program interface) has been designed in this thesis in order to provide the application portability"
Research on Signal Processor of Data Link Terminal Based on Pervasive Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"The requirement that aircraft receives remote control instruction to change its mission is becoming more and more eagerly. In order to responding the control instruction rapidly, signal processor on data link terminal is studied by using pervasive computing. Accordingly, the processor system is simulated and analyzed to validate the system feasibility. Finally, the implement of prototype hardware system testified the stability."
Study of Cross-sensitivity in the Fiber-Optic Sensor based on Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"In pervasive computing, fiber optic can be adaptive to smart apperceive the complicated environment because of the sensitivity. This paper analyzed the influence of the measurand-strain (axial strain and radial strain) and temperature effect on propagation wave phase in fiber-optic sensors. The equations of propagation wave phase shift caused by strain and temperature change were deduced, and sensitivity coefficients of strain and temperature were obtained. Then we described the cross-sensitivity's physical mechanics of the fiber sensor and obtained cross-sensitivity coefficient. With double wavelength single detecting the change of strain and temperature simultaneously, the cross-sensitivity can be solved. Using the highly elliptical core two-mode fiber as the sensing fiber, two wavelengths 580nm, 600nm as sensor signal, the linear equations were obtained. The relationship of the strain (and temperature) against the two wave phases shifts was showed"
Research of architecture for digital campus LBS in Pervasive Computing Environment,2008 Third International Conference on Pervasive Computing and Applications,2008,"A data organization and access mechanism model of the spatial information grid is developed for effectively solving the spatial information share in pervasive computing environment. An architecture of campus location-based services based on grid geographical information system (CLGG) is proposed for services sharing, which composed of location tier, data tier, service tier and application tier. In the end, a prototype system is designed realizing district navigation and real time location and hot district information release, etc. These functions of the prototype validate the feasibility and validity of the mechanism model and the architecture."
Exposing Values Inherent in Ubiquitous Computing,2008 Third International Conference on Convergence and Hybrid Information Technology,2008,"Ubiquitous computing seems to be a keyword for the next decade covering many aspects of our life in the age of information revolution. However, despite recent technological hype, not much research has been done exposing underlying perceptions of actual users in terms of its use and real-life applications. In this regard, this study makes efforts to expose underlying values assigned by users to ubiquitous computing. As a result, a value-focused framework is developed and presented. Twenty-two potential users of were interviewed and four hundred thirty five statements were collected through these interviews, exposing values assigned by users concerning ubiquitous computing. Subsequent purification and redundancy removal reduces these statements into one-hundred and sixty six objectives that these users have in their mind and these objectives were factored into thirty seven objectives through clustering conducted as a focus group session with three experts. These thirty seven objectives were used in building a means-ends network diagram by analyzing reciprocal relationships among them in a focus group activity of another three experts. Developed framework seems to include five different aspects of ubiquitous computing. The framework may be a good reference in developing missing pieces of ubiquitous-related technologies as well as for developing appropriate business models."
Pervasive Computing Education,,2018,"In this column, we ask three central questions related to ubiquitous computing education. First, why is specialized ubicomp training needed? Next, what should the goal of such specialized training be? And finally, how should these goals be accomplished pedagogically? We argue that these questions should be answered by a community that supports new forms of teaching, training, and learning in ubiquitous computing."
Auditing System Using Rule-Based Reasoning in Ubiquitous Computing,2008 International Conference on Computational Sciences and Its Applications,2008,"We can use information and software of various forms without being restricted for place and time if ubiquitous computing age comes. However, its dysfunction is causing security problems such as outflow of personal information, hacking, diffusion of virus. Specially, dissemination of software that has malicious purpose in ubiquitous computing environment causes serious damage. We have studied about malicious code detection and software vulnerability detection tool to prevent this. But, existent detection tools are not suited to general software, because they are limitative in specification area. In addition, they can not detect a newly appeared malicious code. We must update pattern of new malicious code, because they use a simple pattern matching technique. In this paper, we propose rule-based auditing system that analyzes structure of target code to solve these problems, define this as rule, and detect malicious codes and software vulnerabilities. Proposed auditing system can construct secure ubiquitous computing environment, because it will be used by a common software audit system that reason about source codes security."
A Pervasive Computing Security System Based on Human Activities Analysis,TENCON 2006 - 2006 IEEE Region 10 Conference,2006,"In recent years, the research on intelligent environment based on pervasive/ubiquitous computing technology has attracted more and more attention, especially in security such as KidsRoom by MIT AI Lab. Considering practical applications of pervasive computing technology, it is necessary to present a pervasive computing system model in the view of engineering. In this paper, we illustrated an intelligent surveillant security system based on a HPC model. This system can detect moving person, recognize his behavior, and send out alerting messages such as SMS when intruder or strange behavior is detected. We design this system based on pervasive computing and propose the implementation methods step by step"
Semantic Location-Aware Model for Ubiquitous Computing,2008 International Symposium on Information Science and Engineering,2008,"In order to integrate heterogeneous location-aware systems into ubiquitous computing environment, a novel semantic location-aware model based on ontology is presented. The location-aware model has the capabilities of sharing knowledge, reasoning and adjusting the usage policies of services dynamically through a unified semantic location manner. And a typical conference scenario in ubiquitous computing is taken as an example to demonstrate the feasibility and effective of the semantic location-aware model."
An Access Control Model for Ubiquitous Computing Application,"2005 2nd Asia Pacific Conference on Mobile Technology, Applications and Systems",2005,"Traditional computer system depends on access policy and user's identities to grant or deny their access to resources. The basic assumption in this system is the entities had been known. It is unsuitable to use identity-based access control in ubiquitous computing environment where entities are not foreknown to each other. In this paper, we present a trust based access control model to secure ubiquitous computing application. The resource-constrained trust negotiation is addressed to establish initial trust for authenticating strangers. By the initial trust, each user is arranged a role subset, and context information dynamic decides which role is active"
Design and implementation of semantic translation engine in ubiquitous computing environment,2010 The 12th International Conference on Advanced Communication Technology (ICACT),2010,"In this paper, we design and implement semantic translation engine to provide continuous among several devices in ubiquitous computing environment. We use many kinds of devices and services according to the location, so it is difficult to provide seamless services among the devices. The proposed engine performs transform of protocols, frame rates, bit rates, and so on. Using our scheme, users can be provided a lot of services continuously among devices in ubiquitous computing environment."
A context policy management framework for ubiquitous computing,2010 The 2nd International Conference on Computer and Automation Engineering (ICCAE),2010,"In order to solve the contradiction between information sharing and security privacy in the ubiquitous computing environment, a novel context policy management framework based on ontology is presented. The semantic specification of policy and dynamic policy implementation are described. And the usefulness and flexibility of our proposed framework are demonstrated by a typical ubiquitous computing scenario."
A Mobile Service Language Based on Mobile Agent for Ubiquitous Computing,2008 International Conference on Computer Science and Software Engineering,2008,This paper provided MML (mobile agent based mobile service language) for ubiquitous computing. The aim of MML is to provide a kind of friendly and seamless mobile service language. It also states the semantics using formal method. Also MML brings forward the context awareness mechanism formobile service in ubiquitous computing.
Using Semantic Web technologies for ubiquitous computing,2008 First IEEE International Conference on Ubi-Media Computing,2008,"Because of the limited methods available for us to communicate through the Web, the way that how we interact with computers to access information over the Web presents one of the biggest barriers for various application. This will require new ways of handling, searching and presenting information. Ubiquitous computing technologies are believed to be the third wave in computing by building a global computing environment where seamless and invisible access to computing resources. The Semantic Web is specially a Web of machine readable information whose meaning is well defined by standards so that both people and computers can understand. This paper has present a attempt to apply semantic Web technologies to ubiquitous computing, It takes family ontology as an example to show how semantic reasoning system (SRS) can make the system automatic by improving the interoperability between systems, applications, and information, It uses OWL for defining a domain family ontology, then set up rules in JESS engine, finally run reasoning by Racer."
Dynamic federation of partitioned applications in ubiquitous computing environments,"Second IEEE Annual Conference on Pervasive Computing and Communications, 2004. Proceedings of the",2004,"A framework for the dynamic aggregation of ubiquitous computers is presented. The framework aggregates applications from more than one mobile component that can migrate from computer to computer during the execution of applications. Using location-tracking systems, the framework can spatially bind partitioned applications to users and other things and dynamically allocate and migrate a federation of partitioned applications on multiple computers according to the capabilities and locations of the computers and the positions of users. The framework also provides inter-component communications and component relocation semantics so that an application made up components can adapt its structure and functionality to changes in resource availability and the physical environment. A prototype implementation of the framework built on a Java-based mobile agent system and its applications are described."
