Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Cross-language Keyword Analysis of Digital Transformation for Business","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_5","Ziboud Van VeldhovenRongjia SongJan Vanthienen","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_5","Chapter"
"Design of Software Defined Networking Gateway for the Internet-of-Things","Wireless Personal Communications","","107","2","10.1007/s11277-019-06335-9","A. Ruhan BeviP. ShakthipriyaS. Malarvizhi","2019","http://link.springer.com/article/10.1007/s11277-019-06335-9","Article"
"Search for New Economic Solutions of the Problem of Food Security","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_105","Mikhail A. KovazhenkovGilyan V. FedotovaNatalia N. KulikovaMuslima K. SultanovaNatalia V. Mandrik","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_105","Chapter"
"Remote health monitoring of elderly through wearable sensors","Multimedia Tools and Applications","","78","17","10.1007/s11042-018-7134-7","Mohammed Al-khafajiyThar BakerCarl ChalmersMuhammad AsimHoshang KolivandMuhammad FahimAtif Waraich","2019","http://link.springer.com/article/10.1007/s11042-018-7134-7","Article"
"Beyond IoT: Adaptive Approaches to Collaborative Smart Environments","Smart Grids and Their Communication Systems","","","","10.1007/978-981-13-1768-2_14","Mónica VillaverdeDavid PérezFélix Moreno","2019","http://link.springer.com/chapter/10.1007/978-981-13-1768-2_14","Chapter"
"Toward Human Motion Sensing: Design and Performance Evaluation of a Minimized Wearable Platform Using Inertial and TOA Sensors","Advances in Intelligent, Interactive Systems and Applications","","","","10.1007/978-3-030-02804-6_12","Cheng XuJie HeXiaotong ZhangYue QiShihong Duan","2019","http://link.springer.com/chapter/10.1007/978-3-030-02804-6_12","Chapter"
"Scheduling Algorithms for Heterogeneous Cloud Environment: Main Resource Load Balancing Algorithm and Time Balancing Algorithm","Journal of Grid Computing","","17","4","10.1007/s10723-019-09499-7","Weiwei LinGaofeng PengXinran BianSiyao XuVictor ChangYin Li","2019","http://link.springer.com/article/10.1007/s10723-019-09499-7","Article"
"Context-Aware Indoor Environment Monitoring and Plant Prediction Using Wireless Sensor Network","Emerging Technologies in Computing","","","","10.1007/978-3-030-23943-5_11","Sadia MughalFahad RazaqueMukesh MalaniMuhammad Raheel HassanSaqib HussainAhsan Nazir","2019","http://link.springer.com/chapter/10.1007/978-3-030-23943-5_11","Chapter"
"The Hot Security Topics Analysis for the Announcements in ICANN Website by Using Web Crawler and Association Rule Technology","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_53","Hsing-Chung ChenTzu-Ya ChenShian-Shyong TsengKang-Ming ChangFengming ChangMei-He Jiang","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_53","Chapter"
"Principles of Information Security of a Child on the Internet","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_50","Oleg Ju. RybakovOlga S. Rybakova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_50","Chapter"
"A Business Nature of Security Activity in the Russian Federation Within Application of Information and Digital Technologies of Property Relations","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_43","Sergey A. Sharonov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_43","Chapter"
"Methods of Data Intellectual Analysis in Assessment of Economic Security Level","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_53","Anastasia A. GontarNicolay I. LomakinAnna S. GorbachevaTatyana A. ChekryginaElena V. Tokareva","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_53","Chapter"
"Distributed Speaking Objects: A Case for Massive Multiagent Systems","Massively Multi-Agent Systems II","","","","10.1007/978-3-030-20937-7_1","Marco LippiMarco MameiStefano MarianiFranco Zambonelli","2019","http://link.springer.com/chapter/10.1007/978-3-030-20937-7_1","Chapter"
"Towards a Deeper Understanding of the Behavioural Implications of Bidirectional Activity-Based Ambient Displays in Ambient Assisted Living Environments","Enhanced Living Environments","","","","10.1007/978-3-030-10752-9_6","Kadian Davis-OwusuEvans OwusuLucio MarcenaroCarlo RegazzoniLoe FeijsJun Hu","2019","http://link.springer.com/chapter/10.1007/978-3-030-10752-9_6","Chapter"
"CBSC: A Crowdsensing System for Automatic Calibrating of Barometers","Journal of Computer Science and Technology","","34","5","10.1007/s11390-019-1957-1","Hai-Bo YeXuan-Song LiLi ShengKai Dong","2019","http://link.springer.com/article/10.1007/s11390-019-1957-1","Article"
"A Survey on the Security and the Evolution of Osmotic and Catalytic Computing for 5G Networks","5G Enabled Secure Wireless Networks","","","","10.1007/978-3-030-03508-2_3","Gaurav ChoudharyVishal Sharma","2019","http://link.springer.com/chapter/10.1007/978-3-030-03508-2_3","Chapter"
"Introduction","People, Personal Data and the Built Environment","","","","10.1007/978-3-319-70875-1_1","Holger SchnädelbachDavid Kirk","2019","http://link.springer.com/chapter/10.1007/978-3-319-70875-1_1","Chapter"
"Cluster-Based Health Monitoring Scheme in Wireless Sensor Networks","Computational Intelligence and Sustainable Systems","","","","10.1007/978-3-030-02674-5_7","S. SelvakanmaniM. ShanmathiN. S. Sandhya","2019","http://link.springer.com/chapter/10.1007/978-3-030-02674-5_7","Chapter"
"Security Framework for Context Aware Mobile Web Services","International Conference on Computer Networks and Communication Technologies","","","","10.1007/978-981-10-8681-6_89","P. Joseph CharlesS. Britto Ramesh Kumar","2019","http://link.springer.com/chapter/10.1007/978-981-10-8681-6_89","Chapter"
"Transformation of Information Security Systems of Enterprises in the Context of Digitization of the National Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_84","Gilyan V. FedotovaOksana A. KovalenkoTatyana D. MalyutinaAlexandra V. GlushchenkoAlexander V. Sukhinin","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_84","Chapter"
"Profile Management System in Ubiquitous Healthcare Cloud Computing Environment","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_11","Evy KaravatselouMaria-Anna FengouGeorgios MantasDimitrios Lymberopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_11","Chapter"
"The Fog Computing Paradigm: A Rising Need of IoT World","Proceedings of the 2nd International Conference on Data Engineering and Communication Technology","","","","10.1007/978-981-13-1610-4_39","Shivani DesaiAnkit Thakkar","2019","http://link.springer.com/chapter/10.1007/978-981-13-1610-4_39","Chapter"
"Visualizing the studies on smart cities in the past two decades: a two-dimensional perspective","Scientometrics","","120","2","10.1007/s11192-019-03134-8","Munan Li","2019","http://link.springer.com/article/10.1007/s11192-019-03134-8","Article"
"The State of the Art in Blockchain Research (2013–2018): Scientometrics of the Related Papers in Web of Science and Scopus","Digital Business Strategies in Blockchain Ecosystems","","","","10.1007/978-3-030-29739-8_27","Guzin OzdagogluMuhammet DamarAskin Ozdagoglu","2020","http://link.springer.com/chapter/10.1007/978-3-030-29739-8_27","Chapter"
"Breaching the future: understanding human challenges of autonomous systems for the home","Personal and Ubiquitous Computing","","23","2","10.1007/s00779-019-01210-7","Tommy NilssonAndy CrabtreeJoel FischerBoriana Koleva","2019","http://link.springer.com/article/10.1007/s00779-019-01210-7","Article"
"A novel approach of making better recommendations by revealing hidden desires and information curation for users of internet of things","Multimedia Tools and Applications","","78","3","10.1007/s11042-018-6084-4","Keonsoo LeeYang Sun LeeYunyoung Nam","2019","http://link.springer.com/article/10.1007/s11042-018-6084-4","Article"
"MIPv6 in Crowdsensing Applications for SIoT Environments","Toward Social Internet of Things (SIoT): Enabling Technologies, Architectures and Applications","","","","10.1007/978-3-030-24513-9_3","Daniel MinoliWei WangBenedict Occhiogrosso","2020","http://link.springer.com/chapter/10.1007/978-3-030-24513-9_3","Chapter"
"Classification of Soft Keyboard Typing Behaviors Using Mobile Device Sensors with Machine Learning","Arabian Journal for Science and Engineering","","44","4","10.1007/s13369-018-03703-8","Asim Sinan YukselFatih Ahmet SenelIbrahim Arda Cankaya","2019","http://link.springer.com/article/10.1007/s13369-018-03703-8","Article"
"DeepSeq: learning browsing log data based personalized security vulnerabilities and counter intelligent measures","Journal of Ambient Intelligence and Humanized Computing","","10","9","10.1007/s12652-018-1084-9","Chiranjib Sur","2019","http://link.springer.com/article/10.1007/s12652-018-1084-9","Article"
"Cloud Networking Computing","Wireless Personal Communications","","105","2","10.1007/s11277-019-06152-0","Jonghun KimHector John T. ManaligodJieun LeeSunmoon Jo","2019","http://link.springer.com/article/10.1007/s11277-019-06152-0","Article"
"Efficient Framework to Secure Communication in IoT Using Novel Finite Field Encryption","Intelligent Systems in Cybernetics and Automation Control Theory","","","","10.1007/978-3-030-00184-1_1","Eisha Akanksha","2019","http://link.springer.com/chapter/10.1007/978-3-030-00184-1_1","Chapter"
"Robot–City Interaction: Mapping the Research Landscape—A Survey of the Interactions Between Robots and Modern Cities","International Journal of Social Robotics","","","","10.1007/s12369-019-00534-x","Ilaria TiddiEmanuele BastianelliEnrico DagaMathieu d’AquinEnrico Motta","2019","http://link.springer.com/article/10.1007/s12369-019-00534-x","Article"
"The Basics of Healthcare IoT: Data Acquisition, Medical Devices, Instrumentations and Measurements","A Handbook of Internet of Things in Biomedical and Cyber Physical System","","","","10.1007/978-3-030-23983-1_1","A. S. M. Shamsul ArefinK. M. Talha NahiyanMamun Rabbani","2020","http://link.springer.com/chapter/10.1007/978-3-030-23983-1_1","Chapter"
"Dynamic Adaptation and Automatic Execution of Services According to Ubiquitous Computing","Advanced Intelligent Systems for Sustainable Development (AI2SD’2018)","","","","10.1007/978-3-030-11928-7_89","Marwa ZaryouliMostapha Ezziyyani","2019","http://link.springer.com/chapter/10.1007/978-3-030-11928-7_89","Chapter"
"A fuzzy control model based on BP neural network arithmetic for optimal control of smart city facilities","Personal and Ubiquitous Computing","","23","3 - 4","10.1007/s00779-019-01209-0","Xiaotang XiaTingyang Li","2019","http://link.springer.com/article/10.1007/s00779-019-01209-0","Article"
"An efficient networking protocol for internet of things to handle multimedia big data","Multimedia Tools and Applications","","78","21","10.1007/s11042-018-6883-7","Bandar H. Al-QarniAhmad AlmogrenMohammad Mehedi Hassan","2019","http://link.springer.com/article/10.1007/s11042-018-6883-7","Article"
"Towards an Internet of Agents model based on Linked Open Data approach","Autonomous Agents and Multi-Agent Systems","","33","1 - 2","10.1007/s10458-018-9399-7","Pablo Pico-ValenciaJuan A. Holgado-TerrizaJ. A. Senso","2019","http://link.springer.com/article/10.1007/s10458-018-9399-7","Article"
"Solutions Dedicated to Internal Logistics 4.0","Sustainable Logistics and Production in Industry 4.0","","","","10.1007/978-3-030-33369-0_14","Mariusz KostrzewskiPavol VarjanJosef Gnap","2020","http://link.springer.com/chapter/10.1007/978-3-030-33369-0_14","Chapter"
"Using ICT indicators to measure readiness of countries to implement Industry 4.0 and the SDGs","Environmental Economics and Policy Studies","","","","10.1007/s10018-019-00259-1","Godwell NhamoCharles NhemachenaSenia Nhamo","2019","http://link.springer.com/article/10.1007/s10018-019-00259-1","Article"
"A unified framework for data integrity protection in people-centric smart cities","Multimedia Tools and Applications","","","","10.1007/s11042-019-7182-7","May AltulyanLina YaoSalil S. KanhereXianzhi WangChaoran Huang","2019","http://link.springer.com/article/10.1007/s11042-019-7182-7","Article"
"Smart City Learning Solutions, Wearable Learning, and User Experience Design","Perspectives on Wearable Enhanced Learning (WELL)","","","","10.1007/978-3-319-64301-4_12","Brenda BannanJack Burbridge","2019","http://link.springer.com/chapter/10.1007/978-3-319-64301-4_12","Chapter"
"Hybrid gradient descent cuckoo search (HGDCS) algorithm for resource scheduling in IaaS cloud computing environment","Cluster Computing","","22","1","10.1007/s10586-018-2856-x","Syed Hamid Hussain MadniMuhammad Shafie Abd LatiffShafi’i Muhammad AbdulhamidJaved Ali","2019","http://link.springer.com/article/10.1007/s10586-018-2856-x","Article"
"Key Considerations in Optimizing the Deployment of Big Data Analytics-as-a-Service Utilizing Cloud Architecture and Machine Learning","Proceedings of ICETIT 2019","","","","10.1007/978-3-030-30577-2_73","Bhuvan UnhelkarV. Trivikram Rao","2020","http://link.springer.com/chapter/10.1007/978-3-030-30577-2_73","Chapter"
"Evaluation of Out-of-Band Channels for IoT Security","SN Computer Science","","1","1","10.1007/s42979-019-0018-8","Sampsa LatvalaMohit SethiTuomas Aura","2019","http://link.springer.com/article/10.1007/s42979-019-0018-8","Article"
"A Robust Lightweight ECC-Based Three-Way Authentication Scheme for IoT in Cloud","Smart Computing Paradigms: New Progresses and Challenges","","","","10.1007/978-981-13-9680-9_7","Sayantan ChatterjeeShefalika Ghosh Samaddar","2020","http://link.springer.com/chapter/10.1007/978-981-13-9680-9_7","Chapter"
"Need and Design of Smart and Secure Energy-Efficient IoT-Based Healthcare Framework","Energy Conservation for IoT Devices","","","","10.1007/978-981-13-7399-2_11","Manik SharmaSamritiGurvinder Singh","2019","http://link.springer.com/chapter/10.1007/978-981-13-7399-2_11","Chapter"
"Improvement of the Institutional Structure of the Real Sector Under the Conditions of the Digital Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_72","Anzhelika BuevichOlga KaramovaEvgeny Sumarokov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_72","Chapter"
"Identity-based encryption with authorized equivalence test for cloud-assisted IoT","Cluster Computing","","","","10.1007/s10586-019-02979-1","Rashad ElhabobYanan ZhaoNabeil EltayiebAbdeldime M. S. AbdelgaderHu Xiong","2019","http://link.springer.com/article/10.1007/s10586-019-02979-1","Article"
"Context-Aware Parking Systems in Urban Areas: A Survey and Early Experiments","Context-Aware Systems and Applications, and Nature of Computation and Communication","","","","10.1007/978-3-030-06152-4_3","Hafiz Mahfooz Ul HaqueHaidar ZulfiqarSajid Ullah KhanMuneeb Ul Haque","2019","http://link.springer.com/chapter/10.1007/978-3-030-06152-4_3","Chapter"
"Deep Learning for Smartphone-Based Human Activity Recognition Using Multi-sensor Fusion","Wireless Internet","","","","10.1007/978-3-030-06158-6_7","Charlene V. San BuenaventuraNestor Michael C. TiglaoRowel O. Atienza","2019","http://link.springer.com/chapter/10.1007/978-3-030-06158-6_7","Chapter"
"A Survey on Lightweight Authenticated Encryption and Challenges for Securing Industrial IoT","Security and Privacy Trends in the Industrial Internet of Things","","","","10.1007/978-3-030-12330-7_4","Megha AgrawalJianying ZhouDonghoon Chang","2019","http://link.springer.com/chapter/10.1007/978-3-030-12330-7_4","Chapter"
"User-Centric Privacy","Internet of Things Security and Data Protection","","","","10.1007/978-3-030-04984-3_13","Antonio SkarmetaJosé L. Hernández-RamosJuan A. Martinez","2019","http://link.springer.com/chapter/10.1007/978-3-030-04984-3_13","Chapter"
"Intelligent library knowledge innovation service system based on multimedia technology","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01269-2","Gao Yujie","2019","http://link.springer.com/article/10.1007/s00779-019-01269-2","Article"
"Integration of Cloud-Fog Based Platform for Load Balancing Using Hybrid Genetic Algorithm Using Bin Packing Technique","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","","","","10.1007/978-3-030-02607-3_25","Muhammad ZubairNadeem JavaidMuhammad IsmailMuhammad ZakriaMuhammad Asad ZaheerFaizan Saeed","2019","http://link.springer.com/chapter/10.1007/978-3-030-02607-3_25","Chapter"
"A water cycle optimized wavelet neural network algorithm for demand prediction in cloud computing","Cluster Computing","","22","4","10.1007/s10586-019-02916-2","Sima JeddiSaeed Sharifian","2019","http://link.springer.com/article/10.1007/s10586-019-02916-2","Article"
"Ways of Achieving the Institutional Equilibrium in the Context of an Emerging Single Digital Space","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_61","Natalia VasilenkoMark KhaikinArunas Lapinskas","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_61","Chapter"
"A Novel Experimental Prototype for Assessing IoT Performance on Real-Time Analytics","Software Engineering and Algorithms in Intelligent Systems","","","","10.1007/978-3-319-91186-1_6","B. C. ManujakshiK. B. Ramesh","2019","http://link.springer.com/chapter/10.1007/978-3-319-91186-1_6","Chapter"
"An Automated Driver’s Context Recognition Approach Using Smartphone Embedded Sensors","Computational Science and Technology","","","","10.1007/978-981-15-0058-9_11","Md Ismail HossenMichael GohTee ConnieSiong Hoe LauAhsanul Bari","2020","http://link.springer.com/chapter/10.1007/978-981-15-0058-9_11","Chapter"
"Fall detection system for elderly people using IoT and ensemble machine learning algorithm","Personal and Ubiquitous Computing","","23","5 - 6","10.1007/s00779-018-01196-8","Diana YacchiremaJara Suárez de PugaCarlos PalauManuel Esteve","2019","http://link.springer.com/article/10.1007/s00779-018-01196-8","Article"
"Security Challenges and Solutions of IoT Ecosystem","Information and Communication Technology for Sustainable Development","","","","10.1007/978-981-13-7166-0_25","Anshul JainTanya Singh","2020","http://link.springer.com/chapter/10.1007/978-981-13-7166-0_25","Chapter"
"Legal Education in a Digital Age","Legal Tech and the New Sharing Economy","","","","10.1007/978-981-15-1350-3_7","Mark FenwickWulf A. KaalErik P. M. Vermeulen","2020","http://link.springer.com/chapter/10.1007/978-981-15-1350-3_7","Chapter"
"A Survey of Lightweight Cryptographic Algorithms for IoT-Based Applications","Smart Innovations in Communication and Computational Sciences","","","","10.1007/978-981-13-2414-7_27","Ankit ShahMargi Engineer","2019","http://link.springer.com/chapter/10.1007/978-981-13-2414-7_27","Chapter"
"BYOD Security and Risk Challenges in Oman Organisations","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_21","Khoula Al HarthyNazaraf Shah","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_21","Chapter"
"A Context-Awareness Approach to Tourism and Heritage Routes Generation","Ambient Intelligence – Software and Applications –, 9th International Symposium on Ambient Intelligence","","","","10.1007/978-3-030-01746-0_2","Carlos RamosGoreti MarreirosConstantino MartinsLuiz FariaLuís ConceiçãoJoss SantosLuís FerreiraRodrigo MesquitaLucas Schwantes Lima","2019","http://link.springer.com/chapter/10.1007/978-3-030-01746-0_2","Chapter"
"A methodological review on attack and defense strategies in cyber warfare","Wireless Networks","","25","6","10.1007/s11276-018-1724-1","Ramaswamy Swarnammal ShajiV. Sachin DevThomas Brindha","2019","http://link.springer.com/article/10.1007/s11276-018-1724-1","Article"
"Problems with research methods in medical device big data analytics","International Journal of Data Science and Analytics","","","","10.1007/s41060-019-00176-2","Kenneth David Strang","2019","http://link.springer.com/article/10.1007/s41060-019-00176-2","Article"
"A Transition Model from Web of Things to Speech of Intelligent Things in a Smart Education System","Data Management, Analytics and Innovation","","","","10.1007/978-981-32-9949-8_47","Ambrose A. AzetaVictor I. AzetaSanjay MisraM. Ananya","2020","http://link.springer.com/chapter/10.1007/978-981-32-9949-8_47","Chapter"
"Indicators of Artificial Intelligence of Financial Evaluation of Small Business Investment Attractiveness","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_107","Anna V. ShokhnekhOlga A. MironovaFarid F. HanafeevOlga A. KuzmenkoLyubov F. Shilova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_107","Chapter"
"Reliable Monitoring Security System to Prevent MAC Spoofing in Ubiquitous Wireless Network","Advances in Big Data and Cloud Computing","","","","10.1007/978-981-13-1882-5_12","S. U. UllasJ. Sandeep","2019","http://link.springer.com/chapter/10.1007/978-981-13-1882-5_12","Chapter"
"An adaptive mutual trust based access control model for electronic healthcare system","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-019-01240-2","Ashish SinghKakali Chatterjee","2019","http://link.springer.com/article/10.1007/s12652-019-01240-2","Article"
"Innovative Citizen’s Services through Public Cloud in Pakistan: User’s Privacy Concerns and Impacts on Adoption","Mobile Networks and Applications","","24","1","10.1007/s11036-018-1132-x","Umar AliAmjad MehmoodMuhammad Faran MajeedSiraj MuhammadMuhammad Kamal KhanHoubing SongKhalid Mahmood Malik","2019","http://link.springer.com/article/10.1007/s11036-018-1132-x","Article"
"Automated General Movement Assessment for Perinatal Stroke Screening in Infants","Smart Assisted Living","","","","10.1007/978-3-030-25590-9_8","Yan GaoYang LongYu GuanAnna BasuJessica BaggaleyThomas Plötz","2020","http://link.springer.com/chapter/10.1007/978-3-030-25590-9_8","Chapter"
"An enhancement to SePeCloud with improved security and efficient data management","Cluster Computing","","22","2","10.1007/s10586-018-2072-8","S. SavithaP. ThangamL. Latha","2019","http://link.springer.com/article/10.1007/s10586-018-2072-8","Article"
"Research outlook and state-of-the-art methods in context awareness data modeling and retrieval","Evolutionary Intelligence","","","","10.1007/s12065-019-00274-x","S. G. GollagiM. M. MathU. P. Kulkarni","2019","http://link.springer.com/article/10.1007/s12065-019-00274-x","Article"
"Residential Neighbourhood Security using WiFi","Computational Science and Technology","","","","10.1007/978-981-13-2622-6_43","Kain Hoe TaiVik Tor GohTimothy Tzen Vun YapHu Ng","2019","http://link.springer.com/chapter/10.1007/978-981-13-2622-6_43","Chapter"
"The Rudiments of Energy Conservation and IoT","Energy Conservation for IoT Devices","","","","10.1007/978-981-13-7399-2_1","Mamta MittalSubhash Chandra Pandey","2019","http://link.springer.com/chapter/10.1007/978-981-13-7399-2_1","Chapter"
"The IoT and Unpacking the Heffalump’s Trunk","Proceedings of the Future Technologies Conference (FTC) 2018","","","","10.1007/978-3-030-02686-8_11","Joseph LindleyPaul CoultonRachel Cooper","2019","http://link.springer.com/chapter/10.1007/978-3-030-02686-8_11","Chapter"
"The Development of the Agro-industrial Complex in the Cyber Economy","The Cyber Economy","","","","10.1007/978-3-030-31566-5_21","Irina A. MorozovaTatiana N. Litvinova","2019","http://link.springer.com/chapter/10.1007/978-3-030-31566-5_21","Chapter"
"Managing the Digital Economy: Directions, Technologies, and Tools","Digital Economy: Complexity and Variety vs. Rationality","","","","10.1007/978-3-030-29586-8_20","Larisa V. ShabaltinaElena N. EgorovaIgor A. AgaphonovLilia V. Ermolina","2020","http://link.springer.com/chapter/10.1007/978-3-030-29586-8_20","Chapter"
"Smart Cities","Cyber Resilience of Systems and Networks","","","","10.1007/978-3-319-77492-3_17","Jesus PachecoCihan TuncSalim Hariri","2019","http://link.springer.com/chapter/10.1007/978-3-319-77492-3_17","Chapter"
"Technological Environmentality: Conceptualizing Technology as a Mediating Milieu","Philosophy & Technology","","32","2","10.1007/s13347-018-0309-3","Ciano AydinMargoth González WogePeter-Paul Verbeek","2019","http://link.springer.com/article/10.1007/s13347-018-0309-3","Article"
"Conceptual Security System Design for Mobile Platforms Based on Human Nervous System","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-030-22263-5_42","Nanda Kumar ThanigaivelanEthiopia NigussieSeppo VirtanenJouni Isoaho","2020","http://link.springer.com/chapter/10.1007/978-3-030-22263-5_42","Chapter"
"Governance and Assessment of Future Spaces: A Discussion of Some Issues Raised by the Possibilities of Human–Machine Mergers","Development","","62","1 - 4","10.1057/s41301-019-00208-1","Andelka M. PhillipsI. S. Mian","2019","http://link.springer.com/article/10.1057/s41301-019-00208-1","Article"
"MBS: Multilevel Blockchain System for IoT","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01339-5","Bacem MbarekNafaâ JabeurTomás PitnerAnsar-Ul-Haque Yasar","2019","http://link.springer.com/article/10.1007/s00779-019-01339-5","Article"
"Conceptualizing smart service systems","Electronic Markets","","29","1","10.1007/s12525-017-0270-5","Daniel BeverungenOliver MüllerMartin MatznerJan MendlingJan vom Brocke","2019","http://link.springer.com/article/10.1007/s12525-017-0270-5","Article"
"Probabilistic Full Disclosure Attack on IoT Network Authentication Protocol","Advances in Information and Communication","","","","10.1007/978-3-030-12385-7_52","Madiha KhalidUmar MujahidMuhammad Najam-ul-IslamBinh Tran","2020","http://link.springer.com/chapter/10.1007/978-3-030-12385-7_52","Chapter"
"Customer Surveys as a Quantitative Evaluation Tool for Digital BMI","Business Model Innovation in the Era of the Internet of Things","","","","10.1007/978-3-319-98723-1_8","Jan F. TeschMiriam LehmbrinkGerrit RemanéLutz M. Kolbe","2019","http://link.springer.com/chapter/10.1007/978-3-319-98723-1_8","Chapter"
"Biofeedback in Healthcare: State of the Art and Meta Review","Connected Health in Smart Cities","","","","10.1007/978-3-030-27844-1_6","Hawazin Faiz BadawiAbdulmotaleb El Saddik","2020","http://link.springer.com/chapter/10.1007/978-3-030-27844-1_6","Chapter"
"Abstract Model of Trusted and Secure Middleware Framework for Multi-cloud Environment","Advanced Informatics for Computing Research","","","","10.1007/978-981-13-3143-5_38","Deepika SaxenaKunwar Singh VaislaManmohan Singh Rauthan","2019","http://link.springer.com/chapter/10.1007/978-981-13-3143-5_38","Chapter"
"A Survey of the Research Status of Pedestrian Dead Reckoning Systems Based on Inertial Sensors","International Journal of Automation and Computing","","16","1","10.1007/s11633-018-1150-y","Yuan WuHai-Bing ZhuQing-Xiu DuShu-Ming Tang","2019","http://link.springer.com/article/10.1007/s11633-018-1150-y","Article"
"Application of Cognitive Protocols in Transformative Computing","Advances on Broad-Band Wireless Computing, Communication and Applications","","","","10.1007/978-3-030-33506-9_38","Marek R. OgielaLidia Ogiela","2020","http://link.springer.com/chapter/10.1007/978-3-030-33506-9_38","Chapter"
"Analyzing large-scale human mobility data: a survey of machine learning methods and applications","Knowledge and Information Systems","","58","3","10.1007/s10115-018-1186-x","Eran TochBoaz LernerEyal Ben-ZionIrad Ben-Gal","2019","http://link.springer.com/article/10.1007/s10115-018-1186-x","Article"
"Theoretical Background","Business Model Innovation in the Era of the Internet of Things","","","","10.1007/978-3-319-98723-1_2","Jan F. Tesch","2019","http://link.springer.com/chapter/10.1007/978-3-319-98723-1_2","Chapter"
"Twenty Years of Information Systems Frontiers","Information Systems Frontiers","","21","2","10.1007/s10796-019-09925-x","Ghassan BeydounBabak AbedinJosé M. MerigóMelanie Vera","2019","http://link.springer.com/article/10.1007/s10796-019-09925-x","Article"
"Priority Aspects of Regulation and Mechanisms of Tourist Industry Development: E-State Services in the Field of Tourism in the Russian Federation","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_42","Vladimir A. ZolotovskiyVeronika A. PolukhinaAndrey A. Shanin","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_42","Chapter"
"Statistical analysis of tourist flow in tourist spots based on big data platform and DA-HKRVM algorithms","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01341-x","Daming LiLianbing DengZhiming Cai","2019","http://link.springer.com/article/10.1007/s00779-019-01341-x","Article"
"How Research Achievements Can Influence Delivering of a Course - Siebog Agent Middleware","Agents and Multi-Agent Systems: Technologies and Applications 2018","","","","10.1007/978-3-319-92031-3_11","Milan VidakovićMirjana IvanovićDejan StantićJovana Vidaković","2019","http://link.springer.com/chapter/10.1007/978-3-319-92031-3_11","Chapter"
"Context-Aware Automation Based Energy Conservation Techniques for IoT Ecosystem","Energy Conservation for IoT Devices","","","","10.1007/978-981-13-7399-2_6","Monika ManglaRakhi AkhareSmita Ambarkar","2019","http://link.springer.com/chapter/10.1007/978-981-13-7399-2_6","Chapter"
"A Cooperative Evaluation Approach Based on Blockchain Technology for IoT Application","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_92","Hsing-Chung ChenBambang IrawanZon-Yin Shae","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_92","Chapter"
