Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Smart Agents and Fog Computing for Smart City Applications","Smart Cities","","","","10.1007/978-3-319-39595-1_14","Andrea GiordanoGiandomenico SpezzanoAndrea Vinci","2016","http://link.springer.com/chapter/10.1007/978-3-319-39595-1_14","Chapter"
"A Sensor Network Architecture for Urban Traffic State Estimation with Mixed Eulerian/Lagrangian Sensing Based on Distributed Computing","Architecture of Computing Systems – ARCS 2014","","","","10.1007/978-3-319-04891-8_13","Edward CanepaEnas OdatAhmad DehwahMustafa MousaJiming JiangChristian Claudel","2014","http://link.springer.com/chapter/10.1007/978-3-319-04891-8_13","Chapter"
"Towards the Use of Social Computing for Social Inclusion: An Overview of the Literature","Learning and Collaboration Technologies. Design, Development and Technological Innovation","","","","10.1007/978-3-319-91743-6_28","Vaso ConstantinouPanagiotis KosmasAntigoni ParmaxiAndri IoannouIosif KlironomosMargherita AntonaConstantine StephanidisPanayiotis Zaphiris","2018","http://link.springer.com/chapter/10.1007/978-3-319-91743-6_28","Chapter"
"Wearable Computing to Support Activities of Daily Living","Ambient Assisted Living and Daily Activities","","","","10.1007/978-3-319-13105-4_30","Colin ShewellChris D. NugentMark DonnellyHaiying Wang","2014","http://link.springer.com/chapter/10.1007/978-3-319-13105-4_30","Chapter"
"Mobile Cloud Computing as an Alternative for Monitoring Child Mental Disorders","Smart Health","","","","10.1007/978-3-319-29175-8_4","Shavely S. PuseyJorge E. CamargoGloria M. Díaz","2016","http://link.springer.com/chapter/10.1007/978-3-319-29175-8_4","Chapter"
"Computing Platforms for Large-Scale Multi-Agent Simulations: The Niche for Heterogeneous Systems","Intelligent Data Engineering and Automated Learning – IDEAL 2014","","","","10.1007/978-3-319-10840-7_51","Worawan Marurngsith","2014","http://link.springer.com/chapter/10.1007/978-3-319-10840-7_51","Chapter"
"Security Challenges of Small Cell as a Service in Virtualized Mobile Edge Computing Environments","Information Security Theory and Practice","","","","10.1007/978-3-319-45931-8_5","Vassilios VassilakisEmmanouil PanaousisHaralambos Mouratidis","2016","http://link.springer.com/chapter/10.1007/978-3-319-45931-8_5","Chapter"
"A Trusted Computing Base for Information System Classified Protection","Cloud Computing and Security","","","","10.1007/978-3-030-00006-6_22","Hui LuXiang CuiLe WangYu JiangRonglai Jia","2018","http://link.springer.com/chapter/10.1007/978-3-030-00006-6_22","Chapter"
"Ewya: An Interoperable Fog Computing Infrastructure with RDF Stream Processing","Internet Science","","","","10.1007/978-3-319-70284-1_20","Eugene SiowThanassis TiropanisWendy Hall","2017","http://link.springer.com/chapter/10.1007/978-3-319-70284-1_20","Chapter"
"The Paradigm of Big Data for Augmenting Internet of Vehicle into the Intelligent Cloud Computing Systems","Internet of Vehicles – Technologies and Services","","","","10.1007/978-3-319-11167-4_25","Gebeyehu Belay GebremeskelYi ChaiZhimin Yang","2014","http://link.springer.com/chapter/10.1007/978-3-319-11167-4_25","Chapter"
"Package-Based Approach for Load Balancing in Cloud Computing","Big Data Analytics","","","","10.1007/978-981-10-6620-7_9","Amanpreet ChawlaNavtej Singh Ghumman","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_9","Chapter"
"With Extreme Scale Computing the Rules Have Changed","Mathematical Software – ICMS 2016","","","","10.1007/978-3-319-42432-3_1","Jack Dongarra","2016","http://link.springer.com/chapter/10.1007/978-3-319-42432-3_1","Chapter"
"Preventing Domestic Violence Via Education in Cloud Computing Service","The 2nd International Workshop on Learning Technology for Education in Cloud","","","","10.1007/978-94-007-7308-0_21","Chih LinPei Chi ShaoSatnam Singh","2014","http://link.springer.com/chapter/10.1007/978-94-007-7308-0_21","Chapter"
"Warehouse-Scale Computing in the Post-Moore Era","Algorithmic Aspects of Cloud Computing","","","","10.1007/978-3-319-74875-7_1","Babak Falsafi","2018","http://link.springer.com/chapter/10.1007/978-3-319-74875-7_1","Chapter"
"Distributed Ontology Integration Model for Cooperative Inference in Context Aware Computing","Network and Parallel Computing","","","","10.1007/978-3-662-44917-2_56","Soomi Yang","2014","http://link.springer.com/chapter/10.1007/978-3-662-44917-2_56","Chapter"
"Fault-Tolerant Storage Servers for the Databases of Redundant Web Servers in a Computing Grid","Network and Parallel Computing","","","","10.1007/978-3-662-44917-2_60","MinHwan Ok","2014","http://link.springer.com/chapter/10.1007/978-3-662-44917-2_60","Chapter"
"Social Computing: New Pervasive Computing Paradigm to Enhance Triple Bottom Line","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_47","Marie D. FernandoAthula GinigeAna Hol","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_47","Chapter"
"A Survey on Fog Computing","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-030-24900-7_13","Rui HuangYu SunChao HuangGuang ZhaoYing Ma","2019","http://link.springer.com/chapter/10.1007/978-3-030-24900-7_13","Chapter"
"Impact of Cloud Computing Technology on E-Government","Information and Software Technologies","","","","10.1007/978-3-319-11958-8_22","Omar AliJeffrey SoarJianming Yong","2014","http://link.springer.com/chapter/10.1007/978-3-319-11958-8_22","Chapter"
"Context-Aware Indoor Environment Monitoring and Plant Prediction Using Wireless Sensor Network","Emerging Technologies in Computing","","","","10.1007/978-3-030-23943-5_11","Sadia MughalFahad RazaqueMukesh MalaniMuhammad Raheel HassanSaqib HussainAhsan Nazir","2019","http://link.springer.com/chapter/10.1007/978-3-030-23943-5_11","Chapter"
"Volume Visualization Tools for Medical Applications in Ubiquitous Platforms","eHealth 360°","","","","10.1007/978-3-319-49655-9_54","Ander ArbelaizAitor MorenoLuis KabongoAlejandro García-Alonso","2017","http://link.springer.com/chapter/10.1007/978-3-319-49655-9_54","Chapter"
"Traffic Analysis in Target Tracking Ubiquitous Sensor Networks","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-10353-2_34","Anastasia VybornovaAndrey Koucheryavy","2014","http://link.springer.com/chapter/10.1007/978-3-319-10353-2_34","Chapter"
"sMOOC and Gamification – A Proposed Ubiquitous Learning","Emerging Technologies for Education","","","","10.1007/978-3-319-52836-6_54","Javier Gil-QuintanaLucía Camarero-CanoCarmen Cantillo-ValeroSara Osuna-Acedo","2017","http://link.springer.com/chapter/10.1007/978-3-319-52836-6_54","Chapter"
"Inclusive Ubiquitous Access - A Status Report","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-319-16886-9_2","Amos NunguRobert OlssonBjörn PehrsonJiawei KangDaniel KifetewAlisher Rustamov","2015","http://link.springer.com/chapter/10.1007/978-3-319-16886-9_2","Chapter"
"ITS Architecture for Provision of Advanced Information Services for Public Transport by Road","Ubiquitous Computing and Ambient Intelligence. Sensing, Processing, and Using Environmental Information","","","","10.1007/978-3-319-26401-1_21","Carmelo R. GarcíaAlexis Quesada-ArencibiaTeresa CristóbalGabino PadrónFrancisco Alayón","2015","http://link.springer.com/chapter/10.1007/978-3-319-26401-1_21","Chapter"
"Developing Agent-Based Smart Objects for IoT Edge Computing: Mobile Crowdsensing Use Case","Internet and Distributed Computing Systems","","","","10.1007/978-3-030-02738-4_20","Teemu LeppänenClaudio SavaglioLauri LovénWilma RussoGiuseppe Di FattaJukka RiekkiGiancarlo Fortino","2018","http://link.springer.com/chapter/10.1007/978-3-030-02738-4_20","Chapter"
"Design and Evaluation of a Smart Library Using the APEX Framework","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_29","Tiago AbadeTiago GomesJosé Luís SilvaJosé C. Campos","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_29","Chapter"
"Fog Computing as a Critical Link Between a Central Cloud and IoT in Support of Fast Discovery of New Hydrocarbon Reservoirs","Mobile Networks and Management","","","","10.1007/978-3-319-90775-8_20","Andrzej M. GoscinskiZahir TariIzzatdin A. AzizEidah J. Alzahrani","2018","http://link.springer.com/chapter/10.1007/978-3-319-90775-8_20","Chapter"
"Energy Aware Edge Computing: A Survey","High-Performance Computing Applications in Numerical Simulation and Edge Computing","","","","10.1007/978-981-32-9987-0_8","Tiantian FanYeliang QiuCongfeng JiangJian Wan","2019","http://link.springer.com/chapter/10.1007/978-981-32-9987-0_8","Chapter"
"Cloud Computing: Virtual Web Hosting on Infrastructure as a Service (IaaS)","Mobile Ad-hoc and Sensor Networks","","","","10.1007/978-981-10-8890-2_34","Juan FangZeeshan ShaukatSaqib AliAbdul Ahad Zulfiqar","2018","http://link.springer.com/chapter/10.1007/978-981-10-8890-2_34","Chapter"
"iHDFS: A Distributed File System Supporting Incremental Computing","Intelligent Computation in Big Data Era","","","","10.1007/978-3-662-46248-5_19","Zhenhua WangQingsong DingFuxiang GaoDerong ShenGe Yu","2015","http://link.springer.com/chapter/10.1007/978-3-662-46248-5_19","Chapter"
"Towards the Cloud Computing from Services to Securities and Challenges","Cloud Computing and Security","","","","10.1007/978-3-030-00009-7_31","Shuyan Yu","2018","http://link.springer.com/chapter/10.1007/978-3-030-00009-7_31","Chapter"
"Continuous, Trustless, and Fair: Changing Priorities in Services Computing","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-72125-5_16","Stefan Tai","2018","http://link.springer.com/chapter/10.1007/978-3-319-72125-5_16","Chapter"
"Security and Privacy Issues of Fog Computing: A Survey","Wireless Algorithms, Systems, and Applications","","","","10.1007/978-3-319-21837-3_67","Shanhe YiZhengrui QinQun Li","2015","http://link.springer.com/chapter/10.1007/978-3-319-21837-3_67","Chapter"
"How Cloud Computing Is Addressed for Software Development in Computer Science Education","Human-Computer Interaction. User Interface Design, Development and Multimodality","","","","10.1007/978-3-319-58071-5_31","Dahai GuoAnna Koufakou","2017","http://link.springer.com/chapter/10.1007/978-3-319-58071-5_31","Chapter"
"A Large-Scale Distributed Sorting Algorithm Based on Cloud Computing","Applications and Techniques in Information Security","","","","10.1007/978-3-662-48683-2_20","Na PangDali ZhuZheming FanWenjing RongWeimiao Feng","2015","http://link.springer.com/chapter/10.1007/978-3-662-48683-2_20","Chapter"
"The Development of Cloud Computing in Pacific Rim","Web Services and Formal Methods","","","","10.1007/978-3-319-08260-8_1","Weicheng Huang","2014","http://link.springer.com/chapter/10.1007/978-3-319-08260-8_1","Chapter"
"An Improved Approach of Decoupling in Mobile Cloud Computing","Distributed Computing and Internet Technology","","","","10.1007/978-3-319-04483-5_9","Sohini DeAlok MisraSuddhasil De","2014","http://link.springer.com/chapter/10.1007/978-3-319-04483-5_9","Chapter"
"The Cryptanalysis of WPA & WPA2 Using the Parallel-Computing with GPUs","Mobile Internet Security","","","","10.1007/978-981-10-7850-7_11","TienHo ChangChiamei ChenHanwei HsiaoGuHsin Lai","2018","http://link.springer.com/chapter/10.1007/978-981-10-7850-7_11","Chapter"
"Factors Influencing the Adoption of Cloud Computing by Small and Medium Size Enterprises (SMEs)","Human Interface and the Management of Information. Information and Knowledge in Applications and Services","","","","10.1007/978-3-319-07863-2_60","Shima Ramezani TehraniFarid Shirazi","2014","http://link.springer.com/chapter/10.1007/978-3-319-07863-2_60","Chapter"
"Towards Computation Offloading in Edge Computing: A Survey","High-Performance Computing Applications in Numerical Simulation and Edge Computing","","","","10.1007/978-981-32-9987-0_1","Xiaolan ChengXin ZhouCongfeng JiangJian Wan","2019","http://link.springer.com/chapter/10.1007/978-981-32-9987-0_1","Chapter"
"Stream-Based Live Probabilistic Topic Computing and Matching","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_27","Kun MaZiqiang YuKe JiBo Yang","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_27","Chapter"
"Using a Cloud Computing Telemetry Service to Assess PaaS Setups","Intelligent Information and Database Systems","","","","10.1007/978-3-662-49381-6_31","Francisco Anderson Freire PereiraJackson SoaresAdrianne Paula Vieira AndradeGilson Gomes SilvaJoão Paulo Souza Medeiros","2016","http://link.springer.com/chapter/10.1007/978-3-662-49381-6_31","Chapter"
"Research and Development of Trust Mechanism in Cloud Computing","Cloud Computing and Security","","","","10.1007/978-3-319-27051-7_19","Jun XuFeng XuWenna ChangHaiguang Lai","2015","http://link.springer.com/chapter/10.1007/978-3-319-27051-7_19","Chapter"
"Group Participation Game Strategy for Resource Allocation in Cloud Computing","Network and Parallel Computing","","","","10.1007/978-3-662-44917-2_25","Weifeng SunDanchuang ZhangNing ZhangQingqing ZhangTie Qiu","2014","http://link.springer.com/chapter/10.1007/978-3-662-44917-2_25","Chapter"
"An FBM Model of ISO Cloud Computing Architecture","On the Move to Meaningful Internet Systems. OTM 2017 Workshops","","","","10.1007/978-3-319-73805-5_16","Baba Piprani","2018","http://link.springer.com/chapter/10.1007/978-3-319-73805-5_16","Chapter"
"A Revised Model of the Cloud Computing Ecosystem","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-43177-2_21","Sebastian FloereckeFranz Lehner","2016","http://link.springer.com/chapter/10.1007/978-3-319-43177-2_21","Chapter"
"A Complete Evaluation of the TAM3 Model for Cloud Computing Technology Acceptance","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02671-4_17","Fotios NikolopoulosSpiridon Likothanassis","2018","http://link.springer.com/chapter/10.1007/978-3-030-02671-4_17","Chapter"
"A Metrics Suite for Firm-Level Cloud Computing Adoption Readiness","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-14609-6_2","Robert J. KauffmanDan MaMartin Yu","2014","http://link.springer.com/chapter/10.1007/978-3-319-14609-6_2","Chapter"
"ERP Evaluation in Cloud Computing Environment","Advances in Production Management Systems: Innovative Production Management Towards Sustainable Growth","","","","10.1007/978-3-319-22756-6_10","Valdir MoralesOduvaldo VendramettoSamuel Dereste dos SantosVanessa Santos LessaEdivaldo Antonio Sartor","2015","http://link.springer.com/chapter/10.1007/978-3-319-22756-6_10","Chapter"
"Issues in Applying Model Based Process Improvement in the Cloud Computing Domain","Software Process Improvement and Capability Determination","","","","10.1007/978-3-319-13036-1_21","Jeremy CadeLian WenTerry Rout","2014","http://link.springer.com/chapter/10.1007/978-3-319-13036-1_21","Chapter"
"Cloud Computing: Potential Risks and Security Approaches","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-319-66742-3_7","Hassen Ben RebahHatem Ben Sta","2018","http://link.springer.com/chapter/10.1007/978-3-319-66742-3_7","Chapter"
"Mobile Cloud Computing in Healthcare System","Computational Collective Intelligence","","","","10.1007/978-3-319-24306-1_40","Hanen JemalZied KechaouMounir Ben AyedAdel M. Alimi","2015","http://link.springer.com/chapter/10.1007/978-3-319-24306-1_40","Chapter"
"Multi-objective Optimization for IoT Devices Association in Fog-Computing Based RAN","IoT as a Service","","","","10.1007/978-3-030-14657-3_34","Hua ShiYinbin FengRonghua LuoJie Zheng","2019","http://link.springer.com/chapter/10.1007/978-3-030-14657-3_34","Chapter"
"Comparative Analysis of Open-edi and Cloud Computing Architectures Using Fact Based Modeling","On the Move to Meaningful Internet Systems: OTM 2016 Workshops","","","","10.1007/978-3-319-55961-2_11","Baba Piprani","2017","http://link.springer.com/chapter/10.1007/978-3-319-55961-2_11","Chapter"
"An Overview of the State-of-the-Art of Cloud Computing Cyber-Security","Codes, Cryptology and Information Security","","","","10.1007/978-3-319-55589-8_4","H. BennasarA. BendahmaneM. Essaaidi","2017","http://link.springer.com/chapter/10.1007/978-3-319-55589-8_4","Chapter"
"Management of Multi-cloud Computing","Global Sourcing of Digital Services: Micro and Macro Perspectives","","","","10.1007/978-3-319-70305-3_8","Paul AlparAriana Polyviou","2017","http://link.springer.com/chapter/10.1007/978-3-319-70305-3_8","Chapter"
"Understanding the Interaction Support for Mobile Work in an Emergency Room","Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-319-07227-2_30","Sergio F. OchoaAlvaro MonaresNicolás OchoaRamón HervásJosé Bravo","2014","http://link.springer.com/chapter/10.1007/978-3-319-07227-2_30","Chapter"
"Context-Awareness and Mobile HCI: Implications, Challenges and Opportunities","HCI in Business, Government and Organizations. Interacting with Information Systems","","","","10.1007/978-3-319-58481-2_10","Xiangang QinChee-Wee TanTorkil Clemmensen","2017","http://link.springer.com/chapter/10.1007/978-3-319-58481-2_10","Chapter"
"Do Persuasive Technologies Persuade? - A Review of Empirical Studies","Persuasive Technology","","","","10.1007/978-3-319-07127-5_11","Juho HamariJonna KoivistoTuomas Pakkanen","2014","http://link.springer.com/chapter/10.1007/978-3-319-07127-5_11","Chapter"
"Comparing Infrastructure Monitoring with CloudStack Compute Services for Cloud Computing Systems","Databases in Networked Information Systems","","","","10.1007/978-3-319-16313-0_14","Aparna DattAnita GoelSuresh Chand Gupta","2015","http://link.springer.com/chapter/10.1007/978-3-319-16313-0_14","Chapter"
"Single-Stranded Architectures for Computing","Developments in Language Theory","","","","10.1007/978-3-030-24886-4_3","Shinnosuke Seki","2019","http://link.springer.com/chapter/10.1007/978-3-030-24886-4_3","Chapter"
"Integrating Access Control Obligations in the Session Initiation Protocol for Pervasive Computing Environments","E-Technologies: Embracing the Internet of Things","","","","10.1007/978-3-319-59041-7_2","Hassan SharghiRamiro Liscano","2017","http://link.springer.com/chapter/10.1007/978-3-319-59041-7_2","Chapter"
"Formal Context Representation and Calculus for Context-Aware Computing","Context-Aware Systems and Applications, and Nature of Computation and Communication","","","","10.1007/978-3-030-06152-4_1","Ammar AlsaigVangalur AlagarNematollaah Shiri","2019","http://link.springer.com/chapter/10.1007/978-3-030-06152-4_1","Chapter"
"Trust-Enhanced Self-configuration for Organic Computing Systems","Architecture of Computing Systems – ARCS 2014","","","","10.1007/978-3-319-04891-8_4","Nizar MsadekRolf KiefhaberBernhard FechnerTheo Ungerer","2014","http://link.springer.com/chapter/10.1007/978-3-319-04891-8_4","Chapter"
"Cycle Atlanta and OneBusAway: Driving Innovation Through the Data Ecosystems of Civic Computing","Human-Computer Interaction: Users and Contexts","","","","10.1007/978-3-319-21006-3_32","Christopher A. Le DantecKari E. WatkinsRuss ClarkElizabeth Mynatt","2015","http://link.springer.com/chapter/10.1007/978-3-319-21006-3_32","Chapter"
"Adaptive Multimedia Cloud Computing Center Applied on H.264/SVC Streaming","Cloud Computing","","","","10.1007/978-3-319-05506-0_2","Wei-Ting ChoChin-Feng Lai","2014","http://link.springer.com/chapter/10.1007/978-3-319-05506-0_2","Chapter"
"Credit Based Incentive Approach for V2V Cooperation in Vehicular Cloud Computing","Internet of Vehicles. Technologies and Services Towards Smart City","","","","10.1007/978-3-030-05081-8_7","Lylia AlouacheNga NguyenMakhlouf AliouatRachid Chelouah","2018","http://link.springer.com/chapter/10.1007/978-3-030-05081-8_7","Chapter"
"Toward Design of Advanced System-on-Chip Architecture for Mobile Computing Devices","Mobile, Secure, and Programmable Networking","","","","10.1007/978-3-030-22885-9_9","Mohammed S. BenSalehSyed Manzoor QasimAbdulfattah M. Obeid","2019","http://link.springer.com/chapter/10.1007/978-3-030-22885-9_9","Chapter"
"Putting Intelligence in the Network Edge Through NFV and Cloud Computing: The SESAME Approach","Engineering Applications of Neural Networks","","","","10.1007/978-3-319-65172-9_59","Ioannis P. ChochliourosAnastasia S. SpiliopoulouAlexandros KostopoulosMaria BelesiotiEvangelos SfakianakisPhilippos GeorgantasEirini VasilakiIoannis NeokosmidisTheodoros RokkasAthanassios Dardamanis","2017","http://link.springer.com/chapter/10.1007/978-3-319-65172-9_59","Chapter"
"An Evolutionary Multitasking Algorithm for Cloud Computing Service Composition","Services – SERVICES 2018","","","","10.1007/978-3-319-94472-2_10","Liang BaoYutao QiMengqing ShenXiaoxuan BuJusheng YuQian LiPing Chen","2018","http://link.springer.com/chapter/10.1007/978-3-319-94472-2_10","Chapter"
"Autonomic IoT Battery Management with Fog Computing","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-030-19223-5_7","Hugo Vaz SampaioAna Luiza Cordova de JesusRicardo do Nascimento BoingCarlos Becker Westphall","2019","http://link.springer.com/chapter/10.1007/978-3-030-19223-5_7","Chapter"
"Computing Quadratic Invariants with Min- and Max-Policy Iterations: A Practical Comparison","FM 2014: Formal Methods","","","","10.1007/978-3-319-06410-9_38","Pierre RouxPierre-Loïc Garoche","2014","http://link.springer.com/chapter/10.1007/978-3-319-06410-9_38","Chapter"
"An Analysis of the Advantages, Challenges and Obstacles of Cloud Computing Adoption to an Academic Control System","Advances in Production Management Systems. Innovative and Knowledge-Based Production Management in a Global-Local World","","","","10.1007/978-3-662-44736-9_68","Eduardo Zied MilianMauro M. SpinolaRodrigo F. GonçalvesAndré Leme Fleury","2014","http://link.springer.com/chapter/10.1007/978-3-662-44736-9_68","Chapter"
"New Infrastructure Technology and Smart Institutional Interventions: The Case of Implementing Government Cloud Computing in Oman","Smart Working, Living and Organising","","","","10.1007/978-3-030-04315-5_10","Khalid AlzadjaliAmany Elbanna","2019","http://link.springer.com/chapter/10.1007/978-3-030-04315-5_10","Chapter"
"Microprocessor Based Edge Computing for an Internet of Things (IoT) Enabled Distributed Motion Control","Advances in Computing and Data Sciences","","","","10.1007/978-981-13-9942-8_3","Wasim Ghder SolimanD. V. Rama Koti Reddy","2019","http://link.springer.com/chapter/10.1007/978-981-13-9942-8_3","Chapter"
"A Parallel Algorithm for Bayesian Text Classification Based on Noise Elimination and Dimension Reduction in Spark Computing Environment","Cloud Computing – CLOUD 2019","","","","10.1007/978-3-030-23502-4_16","Zhuo TangWei XiaoBin LuYoufei ZuoYuan ZhouKeqin Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-23502-4_16","Chapter"
"Survey of Modular Robots and Developed Embedded Devices for Constructive and Computing Components","Interactive Collaborative Robotics","","","","10.1007/978-3-319-66471-2_6","Vladimir DashevskiyViktor BudkovAndrey Ronzhin","2017","http://link.springer.com/chapter/10.1007/978-3-319-66471-2_6","Chapter"
"Cognitively-Inspired Agent-Based Service Composition for Mobile and Pervasive Computing","Artificial Intelligence and Mobile Services – AIMS 2019","","","","10.1007/978-3-030-23367-9_8","Oscar J. Romero","2019","http://link.springer.com/chapter/10.1007/978-3-030-23367-9_8","Chapter"
"Services Computing for Big Data: Challenges and Opportunities","Collaborate Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-319-59288-6_69","Gang Huang","2017","http://link.springer.com/chapter/10.1007/978-3-319-59288-6_69","Chapter"
"Load Balancing in Multi-cellular 4G Using Cloud Computing","Mobile Web and Intelligent Information Systems","","","","10.1007/978-3-030-27192-3_14","Ravyar Jasim HamdTara Ali YahiyaPinar Kirci","2019","http://link.springer.com/chapter/10.1007/978-3-030-27192-3_14","Chapter"
"Development of an ECG Smart Jersey Based on Next Generation Computing for Automated Detection of Heart Defects Among Athletes","Bioinformatics and Biomedical Engineering","","","","10.1007/978-3-030-17935-9_47","Emmanuel AdetibaEkpoki N. OnosenemaVictor AkandeJoy N. AdetibaJules R. KalaFolarin Olaloye","2019","http://link.springer.com/chapter/10.1007/978-3-030-17935-9_47","Chapter"
"Accelerating Low-End Edge Computing with Cross-Kernel Functionality Abstraction","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-030-05051-1_38","Chao WuYaoxue ZhangYuezhi ZhouQiushi Li","2018","http://link.springer.com/chapter/10.1007/978-3-030-05051-1_38","Chapter"
"Maintaining Trust in Cloud Computing through SLA Monitoring","Neural Information Processing","","","","10.1007/978-3-319-12643-2_83","Walayat HussainFarookh Khadeer HussainOmar Khadeer Hussain","2014","http://link.springer.com/chapter/10.1007/978-3-319-12643-2_83","Chapter"
"Large-Scale Semantic Data Management For Urban Computing Applications","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-030-15093-8_8","Shengli SongXiang ZhangBin Guo","2019","http://link.springer.com/chapter/10.1007/978-3-030-15093-8_8","Chapter"
"Modelling Secure Cloud Computing Systems from a Security Requirements Perspective","Trust, Privacy and Security in Digital Business","","","","10.1007/978-3-319-44341-6_4","Shaun SheiChristos KalloniatisHaralambos MouratidisAidan Delaney","2016","http://link.springer.com/chapter/10.1007/978-3-319-44341-6_4","Chapter"
"A Performance Assessment of Evolutionary Algorithms in Volunteer Computing Environments: The Importance of Entropy","Applications of Evolutionary Computation","","","","10.1007/978-3-319-55849-3_52","Juan J. MereloPaloma de las CuevasPablo García-SánchezMario García-Valdez","2017","http://link.springer.com/chapter/10.1007/978-3-319-55849-3_52","Chapter"
"New Governance Framework to Secure Cloud Computing","Cloud Computing and Services Sciences","","","","10.1007/978-3-319-25414-2_12","Ahmed Shaker SaidahNashwa Abdelbaki","2015","http://link.springer.com/chapter/10.1007/978-3-319-25414-2_12","Chapter"
"Structural Specification for the SLAs in Cloud Computing (S3LACC)","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_4","Waheed Aslam GhummanAlexander Schill","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_4","Chapter"
"A Virtual Coach for Active Ageing Based on Sentient Computing and m-health","Ambient Assisted Living and Daily Activities","","","","10.1007/978-3-319-13105-4_10","Zoraida CallejasDavid GriolMichael F. McTearRamón López-Cózar","2014","http://link.springer.com/chapter/10.1007/978-3-319-13105-4_10","Chapter"
"Computing Periods
                
                  
                
                
$$\ldots $$","WALCOM: Algorithms and Computation","","","","10.1007/978-3-319-75172-6_12","Junhee ChoSewon ParkMartin Ziegler","2018","http://link.springer.com/chapter/10.1007/978-3-319-75172-6_12","Chapter"
"A System for Computing Conceptual Pathways in Bio-medical Text Models","Foundations of Intelligent Systems","","","","10.1007/978-3-319-08326-1_27","Troels AndreasenHenrik BulskovJørgen Fischer NilssonPer Anker Jensen","2014","http://link.springer.com/chapter/10.1007/978-3-319-08326-1_27","Chapter"
"DRIS: Direct Reciprocity Based Image Score Enhances Performance in Collaborate Computing System","Collaborate Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-319-59288-6_48","Kun LuShiyu WangQilong Zhen","2017","http://link.springer.com/chapter/10.1007/978-3-319-59288-6_48","Chapter"
"Situational Crime Prevention and the Mitigation of Cloud Computing Threats","Security and Privacy in Communication Networks","","","","10.1007/978-3-319-78816-6_16","Chaz VidalKim-Kwang Raymond Choo","2018","http://link.springer.com/chapter/10.1007/978-3-319-78816-6_16","Chapter"
"Outsmarting Proctors with Smartwatches: A Case Study on Wearable Computing Security","Financial Cryptography and Data Security","","","","10.1007/978-3-662-45472-5_7","Alex MigicovskyZakir DurumericJeff RingenbergJ. Alex Halderman","2014","http://link.springer.com/chapter/10.1007/978-3-662-45472-5_7","Chapter"
"Activity Context Integration in Mobile Computing Environments","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-20804-6_48","Yoosoo Oh","2015","http://link.springer.com/chapter/10.1007/978-3-319-20804-6_48","Chapter"
"MDRAA: A Multi-decisive Resource Allocation Approach to Enhance Energy Efficiency in a Cloud Computing Environment","Advanced Informatics for Computing Research","","","","10.1007/978-981-15-0111-1_26","N. AshaG. Raghavendra Rao","2019","http://link.springer.com/chapter/10.1007/978-981-15-0111-1_26","Chapter"
"The Various Graphs in Graph Computing","Computer Engineering and Technology","","","","10.1007/978-981-13-5919-4_15","Rujun SunLufei Zhang","2019","http://link.springer.com/chapter/10.1007/978-981-13-5919-4_15","Chapter"
"An Efficient Federated Learning Scheme with Differential Privacy in Mobile Edge Computing","Machine Learning and Intelligent Communications","","","","10.1007/978-3-030-32388-2_46","Jiale ZhangJunyu WangYanchao ZhaoBing Chen","2019","http://link.springer.com/chapter/10.1007/978-3-030-32388-2_46","Chapter"
"Harnessing Mobile Pervasive Computing to Enhance Livelihood Processes: Farmer Response to a Mobile Agriculture Information System","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_46","L. N. C. De SilvaJ. S. GoonetillakeG. N. WikramanayakeA. Ginige","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_46","Chapter"
